index,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,salary-class
112_a, kyle, sounness,52, landells place, wildefell, frankston,5114, nsw,19041116,2653028,>50K
113_a, max, cowell,60, pickworth street, warrawong, o'connor,5600, wa,19970409,7619744,<=50K
114_a, alexandra, stosh,87, warrumbul street, pioneer lodge, birrong,6100, vic,19491111,2617111,>50K
115_a, fraser, lease,49, dryandra street, the mount, ringwood,2759, vic,19940709,2516271,>50K
116_a, tarnee, dixon,213, starke street, nioka, eleebana,5091, nsw,19191017,6935479,<=50K
117_a, jessica, lowe,4, pattinson crescent, grand view, wyoming,2753, nsw,19860916,1191526,>50K
118_a, mitchell, baillie,43, robson street, karingah, williamstown,6062, vic,19701012,3971954,>50K
119_a, hayden, petersen,97, slavin place, emerald garden, eastwood,2036, vic,19141112,6807594,<=50K
120_a, heath, dietmayer,31, grevillea street, karkatt, adelong,2577, vic,19390817,4835083,<=50K
121_a, dylan, armanini,225, dominion circuit, cornucopia, burwood,3148, vic,19470102,6633066,<=50K
122_a, emiily, auch-schwelk,179, bonython street, medical centre, pimlico,3193, vic,19780218,8499263,<=50K
123_a, dean, harrington,30, sambell place, the manoa, loganlea,2138, wa,19530516,7667197,<=50K
124_a, olivia, goodrum,21, kardang street, mawingo, crescent head,4019, wa,19850428,7307628,<=50K
125_a, angelina, cannell,142, broadbent street, lewin lodge, hamilton,4207, vic,19320524,3236056,>50K
126_a, jessica, reid,280, medley street, warra creek, ballarat,3149, nsw,19830907,1067529,>50K
127_a, jackson, urmonas,121, ryrie street, poitrel, ashfield,3192, nsw,19180120,4913144,>50K
128_a, benjamin, coleman,215, southern cross drive, ra 58, loftus,2429, vic,19010401,3219120,>50K
129_a, caleb, norvill,216, batchelor street, summit cottage, kempsey,3073, tas,19090301,4708722,<=50K
130_a, matthew, pantazopoulos,51, gratwick street, villa 3, wyoming,4405, sa,19400824,2440497,<=50K
131_a, shannon, haupt,41, fihelly street, rowethorpe, macgregor,4300, sa,19070208,8639324,<=50K
132_a, sachin, bishop,15, david street, silverweir, murray bridge,3218, qld,19041212,4274548,<=50K
133_a, peyton, cupo,22, mathieson crescent, laughalel farm, camperdown,2233, qld,19950710,6865403,<=50K
134_a, emiily, millar,79, bissenberger crescent, berkeley vlge, toowoomba,4350, nsw,19090414,2076491,<=50K
135_a, madelne, birchby,7, dixonddrive, jestarlei, thornlime,2208, wa,19761231,2722141,>50K
136_a, joel, pride,28, brache place, abbotsley cottage, bonnet hill,2219, wa,19590609,6441615,<=50K
137_a, lucas, reid,5569, greenvale street, glen ayre, tongala,3251, vic,19300702,9790835,<=50K
138_a, charlie, apted,16, narryer close, compass adjuster hills, armidale,5112, vic,19441211,7431139,<=50K
139_a, isabella, green,21, boolee street, upton, katherine,2257, vic,19581016,1425927,<=50K
140_a, tayah, rybak,35, morgan crescent, millbay, rochedale south,2800, wa,19070503,7314941,<=50K
141_a, lushia, maclennan,18, adcock place, kyeema, lismore,6163, vic,19731028,1145399,<=50K
142_a, barnaby, stanley,84, pulleine crescent, pine hill, port douglas,3153, vic,19591226,8061133,>50K
143_a, samuel, mahony,132, clift crescent, bonnie doon, booval,2152, nsw,19480217,4347028,<=50K
144_a, alexander, schaller,1, mclorinan street, hillbyrne, manunda,4051, vic,19050712,5516192,>50K
145_a, bradley, white,16, hammond close, rosetta village, toormina,4169, qld,19210921,7769920,<=50K
146_a, roberta, mcgregor,87, strickland crescent, corella, cranbourne,2535, sa,19050306,1712881,<=50K
147_a, ka, nguyen,66, dixon drive, archdale back, warilla,3844, vic,19320525,2537118,>50K
148_a, lilly, scherf,14, may gibbs close, karmont, golden bay,4500, vic,19350921,6950881,<=50K
149_a, rachel, boyle,13, rosella street, leisure living vlge, seelands,2150, nsw,19900801,1167341,>50K
150_a, isabella, sloniec,169, furneaux street, clear creek, sale,2428, sa,19551123,7230441,<=50K
151_a, samir, tomney,61, stuart street, mt providence hostel, orange,5280, sa,19591020,2113283,>50K
152_a, william, stephenson,55, grounds crescent, corcoran, vincent,3156, sa,19850408,3052898,<=50K
153_a, mackinley, webb,1, baynton street, jarrah rd shopping town, orange,6152, qld,19120930,3465838,>50K
154_a, kayne, baars,58, malcolm place, cornucopia, logan reserve,6210, wa,19151014,2604606,<=50K
155_a, emiily, nevin,114, duffy street, retirement village, jervois,2798, nsw,19920226,5140294,<=50K
156_a, benjamin, myles,32, sheehan street, tricorne (cnr scone r road, birkdale,4304, vic,19271010,6431479,<=50K
157_a, jacob, green,3, roper place, moorilla, maryborough,5042, sa,19501221,1047185,<=50K
158_a, stephanie, rundle,13, cobb crescent, east lake, manunda,3305, nsw,19681103,8292280,<=50K
159_a, luke, poumako,162, scratchley place, spring creek, annandale,4370, wa,19491102,7225919,<=50K
160_a, benjamin, paterson,19, badcoe street, cleveland, kingsford,4124, nsw,19860525,1612974,<=50K
161_a, cooper, lowe,41, leahy close, urambi vlge, aldgate,2347, nsw,19790418,8155466,<=50K
162_a, hayley, webb,30, hodgkinson street, arabian stud kelkette park, pearcedale,4370, nsw,19431020,6456768,<=50K
163_a, alana, reid,56, pierces creek, brookfield, burwood east,4101, nsw,19701014,3089427,<=50K
164_a, dylan, angerson,6, naismith place, kilnacrott, morwell,2539, vic,19140907,1791556,<=50K
165_a, emma, homann,12, mcintyre street, avalyn, fairlight,2462, nsw,19211120,4125753,<=50K
166_a, alisha, coleman,38, sugarloaf circuit, ainslie house, jindalee,2220, nsw,19731016,6978590,<=50K
167_a, brooke, stanley,6, alpen street, linvale, latrobe,3148, tas,19610922,5995657,<=50K
168_a, flynn, roccatti,36, lienhop street, milly milly, st ives,3216, qld,19930619,8603121,>50K
169_a, elki, trent,27, wray place, the mews royal hotel bldg, gawler east,3152, nsw,19600211,5679502,>50K
170_a, charlotte, webb,98, tompsitt court, moriah, wellington point,2077, nsw,19190926,1192096,<=50K
171_a, peter, webb,4, florentine circuit, oak park, blair athol,4703, nsw,19691212,5765170,<=50K
172_a, william, roling,2, mcarthur place, kalang, burpengary,2195, nsw,19690702,5873269,<=50K
173_a, alaiyah, grubb,4, higinbotham street, warrumbungle, seacliff,3226, vic,19100321,1079455,>50K
174_a, trye, held,19, kookaburra village, holman street, peregianzbeach,5266, nsw,19520113,6176252,>50K
175_a, timothy, hanna,10, titheradge place, rosetta village, port macquarie,4740, wa,19740401,3449819,<=50K
176_a, sean, kantamessa,33, sheehy street, carrington retrmnt vlge, maryborough,3042, vic,19480229,4028468,<=50K
177_a, marcus, mason,166, warring place, riversdale caravan park, canterbury,3079, qld,19130226,3557171,>50K
178_a, caitlin, pulvirenti,373, macpherson street, edwards chambers, coffs harbour,4061, vic,19270818,1900285,<=50K
179_a, silas, puspawata,152, castieau street, sunnyspot farm, murray bridge,2204, nsw,19850806,9411656,<=50K
180_a, daniele, campbell,11, wakefield garden, nazareth village, old beach,3550, sa,19860419,2659961,<=50K
181_a, michael, white,2, goodwin street, entwood, korora,6000, nsw,19640706,4600379,<=50K
182_a, rhys, snelling,13, tauss place, elmwood, kingsville,4573, wa,19850822,7043113,<=50K
183_a, chloe, clarke,38, blackman crescent, emerald garden, orange,4800, vic,19871218,3350579,<=50K
184_a, charlotte, rogan,1, webster street, wayamba, alfred cove,2830, vic,19320125,3874442,>50K
185_a, delaney, stanley,5, cockburn street, rosehill, toowoomba,3395, nsw,19120713,6536621,<=50K
186_a, gabrielle, whiteley,33, poole place, kainga, winston hills,4427, nsw,19570527,5911980,<=50K
187_a, michael, bencze,203, chauvel street, burrawong park, kilsyth,2146, vic,19440306,8871778,<=50K
188_a, isabella, nguyen,57, marshall street, serenity, devonport,2224, nsw,19810516,1381879,<=50K
189_a, brooke, white,53, allambee court, amaroo hostel, corrimal,2228, nsw,19030924,5721750,>50K
190_a, elizabeth, early,5, haswell place, baybreeze, pitt town,2754, nsw,19891103,7275038,<=50K
191_a, talia, reid,147, sid barnes crescent, tathra, berowra heights,2170, vic,19230203,4712927,<=50K
192_a, mary, mate,6, fitchett street, jarkhellms, bribie island,2228, nsw,19540725,5151134,<=50K
193_a, angelica, britten,10, wilkins street, argyle village, carlingford,2305, vic,19040116,3978249,<=50K
194_a, kirra, horsley,3, pinkerton circuit, swanleigh, cygnet,3199, vic,19260116,4306922,<=50K
195_a, james, ryan,63, light street, tambo, bundamba,3340, vic,19690319,7026873,<=50K
196_a, imogen, white,8, glyde place, st 1d, toodyay,7320, qld,19091122,1772360,>50K
197_a, ruby, wang,19, bowser place, lumeah cottage, coffs harbour,3280, wa,19140526,2413602,<=50K
198_a, angelina, nysten,13, fleetwood smith street, northcliffe, railton,4868, vic,19181231,5506984,<=50K
199_a, abbey, kasehagen,45, oakover circuit, old barn, dundowran,4217, qld,19920102,5971073,<=50K
200_a, mikhayla, eyre,1, wilhelmi crescent, thomond, windsor,2063, vic,19050327,8766126,<=50K
201_a, ethan, calantzis,18, forsythe street, unt 2, alfred cove,6110, wa,19830710,6070168,<=50K
202_a, ruby, lahey,3, paterick place, villa 18, keysborough,3156, nsw,19850208,1409341,>50K
203_a, teresa, hingston,11, cornish place, sun city resort, fullarton,2137, nsw,19040317,3199768,>50K
204_a, dylan, dorrell,43, lacey place, belgrano glenalvie, coolum beach,6105, vic,19140927,9478617,<=50K
205_a, justin, george,27, yumba avenue, katherine low leve, forest hill,2530, vic,19850715,2885921,<=50K
206_a, caitlin, stubbs,14, appel crescent, burramunda, hinchinbrook,2627, qld,19171120,4799616,<=50K
207_a, jory, tyack,21, fidge street, john flynn medical centre, modbury heights,4121, nsw,19170713,6264802,<=50K
208_a, tara, mcandrew,12, phillip avenue, karsul, ingleburn,2251, vic,19190904,2626203,<=50K
209_a, patrick, jervis,34, mcphee place, the old parsonage, stanmore,5125, nsw,19620629,8841195,<=50K
210_a, erin, ulrick,37, owen dixon drive, north hill medical centre, lakemba,2011, vic,19181026,2175121,<=50K
211_a, joel, dimauro,111, hingston close, highland grove, landsborough,4741, nsw,19320930,9769687,<=50K
212_a, jackson, volframs,123, bemm place, wandana, south melbourne,6725, vic,19880709,3939756,>50K
213_a, benjamin, lowe,31, therry place, rosetta village, westmeadows,4428, nsw,19771105,5142745,<=50K
214_a, chloe, mercorella,632, brunswick circuit, bryntirion, prospect,7051, tas,19391110,5037930,>50K
215_a, george, george,159, rocklands street, pontresina, margaret river,4152, nsw,19350611,3352789,<=50K
216_a, jaime, rabe,206, moorehead place, lytton, torquay,3094, vic,19761212,6366346,<=50K
217_a, charlotte, chandler,11, maharatta circuit, berkeley village, ingleburn,6170, vic,19781214,4060871,<=50K
218_a, charlotte, reid,229, schonell circuit, civic centre, canterbury,2107, vic,19140629,7273525,<=50K
219_a, jazz, fotopoulos,8, strathnairn place, villa 2, yackandandah,4011, wa,19360525,3894184,>50K
220_a, madeline, bouras,75, federal highway, brentwood village, balcatta,2062, nsw,19411231,2062121,<=50K
221_a, grace, stanley,191, ern florence crescent, burnside, kalorama,2650, qld,19561030,5251700,<=50K
222_a, tiana, novak,40, manu place, cobblecundy, reynella,3820, qld,19550906,5081922,<=50K
223_a, archie, carbone,22, callabonna street, rosetta village, bayswater,3147, qld,19790405,2459626,<=50K
224_a, michael, mcturk,264, mayfield hill street, pine hill, tarampa,2340, wa,19570723,6666637,<=50K
225_a, kiera, lund,21, barlow street, berowra exch, inverleigh,6280, qld,19120408,5619648,<=50K
226_a, bailey, slape,69, nullagine street, the willows, robina,3072, nsw,19610416,5945296,<=50K
227_a, layla, flegg,36, birdwood street, donore, hinton,3028, nsw,19890605,1891517,<=50K
228_a, amber, pouliotis,6, carleton street, warwillah, seven hills,6063, qld,19290204,9844514,<=50K
229_a, samuel, pesch,1, kapunda street, amarillo, west perth,5608, nsw,19670225,6780411,<=50K
230_a, jessica, clarke,2, simpson street, cooloola farms, altona north,6050, tas,19700117,5214453,<=50K
231_a, samantha, snell,8, miller street, braeburn, kenilworth,7248, nsw,19560620,4166432,<=50K
232_a, matthew, abrahamson,38, tyrrell circuit, st francis vlge, keilor,3187, nsw,19540728,3231589,<=50K
233_a, hannah, kobotheclas,1, wattle street, rosebrook, wendouree,2033, sa,19821223,6652659,>50K
234_a, hudson, denne,20, abercorn crescent, araucaria precinct, potts point,5008, wa,19871217,3744193,<=50K
235_a, laura, campbell,152, clive steele avenue, irrigation farm, yagoona,3350, vic,19160610,6214635,<=50K
236_a, benjamin, blake,5, agonis close, bindaree, doubleview,3219, nsw,19770407,5009859,>50K
237_a, chloe, dolby,477, herschell circuit, woodridge, kingston,2559, nsw,19381005,6770265,>50K
238_a, alisa, reid,14, hay street, callitris, berkeley vale,4740, wa,19800916,9786278,<=50K
239_a, hannah, stephenson,31, allchin circuit, coulter court, scarborough,2291, nsw,19610228,5025918,<=50K
240_a, caitlin, white,9, kambalda crescent, resson, kilmore,4300, qld,19850426,5326539,<=50K
241_a, emma, carmody,26, kingsford smith drive, northbridge marina, concord,4112, nsw,19630327,2801312,<=50K
242_a, nacoya, versteeg,121, kambalda crescent, villa 5, wyongah,4305, vic,19630622,2137736,<=50K
243_a, joel, ballantyne,1215, mary potter circuit, the pinnacle, munster,2152, sa,19660606,6605279,<=50K
244_a, cheyenne, moyse,17, ainsworth street, eureka, o'sullivan beach,4223, nsw,19390130,3161297,<=50K
245_a, emma, leslie,3, monkman street, cascina, buninyong,4370, wa,19981230,8077657,<=50K
246_a, joshua, hawes,7, fewtrell place, grand central, hindmarsh west,2607, qld,19360122,7324375,<=50K
247_a, taylor-saige, rendulic,11, clark close, llantwit house, rocky cape,2287, vic,19570710,6373111,<=50K
248_a, patrick, harrington,7, mcbride place, emerald nook, mount torrens,4575, nsw,19470928,5833707,<=50K
249_a, benjamin, mcgregor,14, couchman crescent, blue shadows, paralowie,2131, nsw,19790728,8259013,>50K
250_a, jessica, mason,4, waller crescent, kilnacrott, broken hill,2099, nsw,19680213,8382361,>50K
251_a, mikayla, mccaffrey,237, monaro crescent, mindalay appts, irymple,4670, qld,19000310,7288818,<=50K
252_a, genevieve, robson,371, giffen close, hse 73, geelong west,3152, nsw,19470621,6647863,<=50K
253_a, sophie, felmingham,13, gudgenby close, openshaw, maiden gully,5047, nsw,19810301,5805600,<=50K
254_a, emma, gaskin,2, allambee street, flr 5 john flynn medical centre, park orchards,3171, nsw,19740517,1859623,<=50K
255_a, joshua, clarke,33, marshall street, deuverney, blackmans bay,4507, vic,19940612,6160823,<=50K
256_a, libby, giola,30, fitzherbert place, lynden park stud, wagaman,3141, nsw,19070529,2606747,<=50K
257_a, lily, noble,264, magrath crescent, trilogy, niangala,3550, qld,19060823,9186463,<=50K
258_a, thomas, tebbutt,6, wynter place, hansdale lane, fadden,4701, vic,19710802,2132854,<=50K
259_a, alexandra, kevic,32, tipiloura street, colooli village, whitfield,4700, nsw,19010417,9803311,<=50K
260_a, samuel, hyland,22, calder crescent, noorilim, stephens,2030, nsw,19700412,6178970,<=50K
261_a, samantha, grierson,5, kennedy street, tantallon, oakleigh,3034, vic,19210114,4683164,<=50K
262_a, noah, white,58, rosman circuit, pyndari, hazelwood park,6025, nsw,19250618,4091442,<=50K
263_a, rhys, mccarthy,10, horsley crescent, myranda, rankin park,4350, nsw,19400913,3669234,>50K
264_a, joel, mouser,59, flegg crescent, villa 2, park holme,4170, nt,19170626,3505741,<=50K
265_a, charlie, wilkins,7, grylls crescent, swainston, st peters,3226, wa,19521122,8124196,<=50K
266_a, joe, mason,8, rankine place, deepdale farm, redbank plains,2101, qld,19420816,9072570,<=50K
267_a, ben, gers,73, somerset street, greenbank, ryde,2641, nsw,19320110,1233432,<=50K
268_a, shelby, hogge,14, fleay place, argyle, st albans,2257, nsw,19581021,7986984,<=50K
269_a, sean, chaptini,66, galmarra street, wilsonton medical centre, lakemba,3056, qld,19380520,6755864,>50K
270_a, chloe, boyle,28, lance hill avenue, patrician stud, newstead,2122, nsw,19140812,4259514,<=50K
271_a, tyrone, clarke,199, banfield street, ashgrove farms, whitfield,4505, qld,19240430,8945436,<=50K
272_a, charlie, simonetti,12, tennyson crescent, warrawong, sunnybank,3055, nsw,19021208,9727260,<=50K
273_a, sophie, alderson,106, cowper street, kingsrange, keilor east,2153, qld,19851004,6164507,<=50K
274_a, harrison, hilsberg,10, northbourne avenue, station road, bomaderry,3054, qld,19190607,8421332,<=50K
275_a, monique, orchard,56, livingston avenue, old school hse, wagaman,3198, nt,19350626,5316863,>50K
