given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,salary-class
 spyke, schumann,78, clark close, pine tree, tannum sands,2326, nsw,19020422,6677685,>50K
 anneliese, clarke,109, arawang, langdon avenue, pakenham,3114, nsw,19000404,9135773,<=50K
 amelia, ryan,35, sidaway street, jemalong retrmnt vlge, avalon,3184, nsw,19230301,1613259,>50K
 kydan, mccarthy,67, clemenger street, the points holsteins, fairlawn,6415, nsw,19720518,6527653,<=50K
 georgia, gryosler,8, foxall street, willaroo, lockwlod,3338, nsw,19321106,8000491,>50K
 bailey, campbell,136, porteous crescent, teasdale park, albany creek,3942, vic,19830721,8875552,>50K
 kelsey, halligan,3, dilboong place, rosetta village, kedron,6027, nsw,19900301,8576385,<=50K
 alexa-rose, lowe,67, ballara t street, the willows, westwood,4012, nsw,19691123,2624157,<=50K
 gemaley, matthews,388, goessling place, evergreen, pennant hills,3194, nsw,19730829,4691516,<=50K
 joshua, rickett,1, burraly corut, malladuo, belleve hill,2439, act,19030121,4310453,<=50K
 emma, green,30, learmonth drive, wallace heights, boundary bend,2747, qld,19310903,9262880,<=50K
 kelsey, halligan,3, dilboong place, rosetta village, kedron,6027, nsw,19900301,8576385,<=50K
 jack, berry,4, esperance street, landen, black rock,2763, vic,19020712,6151476,<=50K
 alexandra, boulter,22, tazewell circuit, berkeley vlge, potts point,2450, vic,19420722,5269403,<=50K
 cambetll, hursey,3, corona place, sweet w atdrs, toowoomba,3980, sa,19870526,7118146,<=50K
 hayd en, geraghty,41, macneilplace, willow wood, frenchs forest,3011, vic,19121130,8624403,<=50K
 monique, gergely,21, harwood court, hybernia park, sherwood,2207, nsw,19790807,7375144,<=50K
 layla, ryan,720, tregellas crescent, carinya vlge, collinswood,3400, nsw,19920526,7041054,>50K
 justin, clarke,12, ahmatt street, moline ivllage, rowvil le,6150, vix,19990220,6779471,>50K
 rourke, webv,5, welsby pnlace, bungarra, island b each,6020, nsw,19780601,8955738,<=50K
 imogen, akroyd,8, everard street, strathalan community, marsfield,3219, qld,19361218,4817613,<=50K
 chloe, gillard,3, crispcir cuit, ban skia, kenilworth,4218, wa,19200820,8072668,<=50K
 joshua, garthwaite,24, mcclintock street, hallsville, avoca,3175, nsw,19050703,5226643,<=50K
 lachlan, jukic,2, morgan crescent, parklea, raymond terrace,2250, nsw,19780702,4027998,<=50K
 cononr, lutz,55, burkitt street, connoisseur quarterhorses, the basin,3166, vic,19970727,6308695,>50K
 rosie, reid,256, coghill close, bay city plaza, blackown,5253, act,19770714,8349921,<=50K
 darcy, jolly,7, antill street, agarabi, godwin beach,4173, nsw,19891008,7208848,<=50K
 isabella, defrancesco,24, meyrick place, marx garden world, wellingotn point,2759, vic,19040819,8342399,<=50K
 jessica, noble,42, boolimba crescent, lashbrooke, cranbourne,2219, vic,19940815,7984432,<=50K
 thomas, wijedasa,152, powers place, carney's arcade, bowen hills,6021, tas,19820415,8129413,<=50K
 zakariah, hoyland,82, rooth place, pindara medical centre, dianella,6164, qld,19900707,6754522,<=50K
 chloe, jayaraman,33, eungella street, victoria mill estate, broken hill,3172, nsw,19590818,4910207,<=50K
 alice, bellchambers,267, swanton street, tallow-wood, blacktown,3136, vic,19381230,8676818,<=50K
 joshua, rickett,1, burraly court, malladup, new farm,2439, act,19030121,4310453,<=50K
 eliza, sharon,120, brinsmead street, chactor, greenacre,3214, nsw,19950112,2497676,<=50K
 fraser, marlow,8, evelyn owen crescent, yarandoo wing, ermington,3000, nsw,19731008,2195286,<=50K
 liam, fitzpatrck,55, schonell circuit, yarramac, coffs harbour,6285, nsw,19321022,5663386,>50K
 brydon, webb,11, walker crescent, bugoren, charlestown,6258, nsw,19190528,4191569,>50K
 chloe, reitler,14, daley crescent, halfway hill, ballinga,6146, qld,19171028,7162356,>50K
 bordin, brody,45, canberra centre (next to medicare), corombie, figtree,2485, qld,19510904,8728984,>50K
 jacynta, hoffman,4, marrakai street, tantallon, munruben,2042, nsw,19320417,4705328,>50K
 mikayla, caruana,37, torrens street, boronia, dianella,2761, qld,19590901,6041595,<=50K
 justin, clarke,12, ahmatt street, moline village, rowville,6105, vic,19990220,6779471,>50K
 catherine, couzens,41, balamara street, landen, frankston,2099, wa,19080905,8642862,<=50K
 tyron, dixon,45, grund place, zintara, munruben,2167, vic,19940207,8837588,<=50K
 rhys, jeffries,3, whistler place, pepin, thornlands,4216, nsw,19200821,3750223,<=50K
 kyle, brain,256, coghill close, bay city plaza, blacktown,5253, act,19770714,8349921,<=50K
 angelina, reece,34, wray pylace, brookto nh ouse, toowoomba,7140, qld,19350613,7961545,>50K
 georgia, kyriacou,21, carumbi place, kindberg, banyo,2340, vic,19280827,9890107,<=50K
 thomas, graue,4, dinnison gcircuit, vila 178, clovelly,4123, wa,19120911,5760570,<=50K
 matthew, green,28, banks srteet, old ffarm, mooroofbark,6108, nsw,19161230,6391014,<=50K
 darcie, fleet,13, fellows street, braeburn, somerton park,2284, vic,19950307,1563705,<=50K
 jord an, blake,2, moore street, fleurbaix, armida le,2477, vic,19790710,6981185,<=50K
 alissa, kilmatrin,37, reveley rescent, crown allot, wolumla,6210, nsw,19041118,7994055,>50K
 connor, lutz,55, burkitt street, connoisseur quarterhorses, the basin,3166, vic,19970727,6308695,>50K
 giuliana, hammill,83, cobby sjtteet, parish takowahl, potts point,3736, nsw,19941108,1238636,<=50K
 kyle, ryan,15, ind place, rocklea, port augusta,4305, nsw,19411102,2059726,>50K
 jacob, varwano,2, magrath crescent, bandrea, auburn,2210, vic,19411202,1499165,>50K
 jordan, thaba,2, moore street, fleurbaix, armidale,2477, vic,19790710,6981185,<=50K
 varano, max,16, birrigaisquare, arabian stud ielkette park, dandenong north,6051, vic,19700713,7737012,<=50K
 ashley, white,25, jacka crescent, red gate, marmong point,7250, wa,19280224,5596702,<=50K
 mccarrhy, timothy,517, sidawawytreet, ballawina stud, northcliffe,4350, nsw,19530607,6601394,<=50K
 sar, coffey,3, mckinlay street, beechowrth, huonville,4558, vic,19150306,1706049,<=50K
 holly, siemers,8, strachan place, kootingal, beaudesert,2104, sa,19610319,4858108,<=50K
 caleb, dixon,1429, glenmore, lambel lvose, toronto,3634, tas,19860422,3569365,<=50K
 anneliese, clarke,16, langdon avenue, arawang, pakenham,3114, nsw,19000404,9135773,<=50K
 william, lipscombe,14, clift crescent, willandra, malvern east,3073, nsw,19260101,3537397,<=50K
 marianne, rees,6, nerli place, weeroona, mansfield,3644, sa,19770628,4235561,>50K
 brinsmead, amelia,73, mackennal street, belgradezpark, wellington point,2046, vic,19810831,4182058,<=50K
 alexa-rose, campblel,17, neeld place, milton, narooma,2205, qld,19490410,1531199,<=50K
 timothy, mccarthy,517, sidaway street, ballawinna stud, northcliffe,4350, nsw,19530607,6601394,<=50K
 kyle, rundle,107, greenhood place, willowd trees, brigthon,5074, nsw,19460902,6532949,<=50K
 callum, grossman,3, downard street, st vincents medical centre, wangaratta,4211, nsw,19770402,7743698,<=50K
 lacey, clarke,54, starritt place, st fra ncis vlge, goomalibee,2600, wa,19700209,9397537,<=50K
 nicholas, campbell,87, poynton street, karma park, albion park,4655, qld,19041212,9882754,<=50K
 jacynta, hoffman,4, marrakai srteet, tantallon, munruben,2153, nsw,19320417,4705328,>50K
 carlin, clarke,13, loch street, anzac house (cnr archer s street, kyabram,5040, vic,19891111,3670162,<=50K
 caleb, radic,17, moon place, cooralook, south perth,4305, nsw,19471021,6519229,<=50K
 nicholas, prideaux,9, hicks street, loccn 7229, bondi junction,5011, sa,19420429,1107619,<=50K
 isabella, fitzptarick,10, tompsitt court, sanlyn, corio,6340, nsw,19771224,5262341,<=50K
 lily, huxley,45, currie crescent, waribalda, beverly hills,2073, qld,19510420,4379936,<=50K
 hananh, isola,26, barlow steet, aptmnt 240, clayton,4350, act,19320106,9013800,<=50K
 emma, gildea,2, mccawley street, nr cnr school art, malvern,6722, qld,19440429,8069828,<=50K
 reeve, mileq,2, renwick lwtreet, yarra bee, barwon heads,2342, nsw,19810406,1067923,<=50K
 sophie, lovelock,26, durraw een, chant street, williamstown,2650, vic,19371233,3072763,<=50K
 jacob, green,2, jerome place, kalke, kings cross,6050, act,19770519,4058972,<=50K
 nicholas, ryan,59, windeyer street, mafeking, belmont,4031, sa,19421110,8430399,<=50K
 mccarthy, kydan,67, clemengerxstreet, the points holsteins, fairlawn,6452, nsw,19729518,6527653,<=50K
 adam, crouch,930, crozier circuit, willow side jersey stud, cressy,3777, nsw,19011112,3380075,<=50K
 darcie, turtur,10, blacket street, eureka, beverly hills,2263, nsw,19570422,2025650,>50K
 hugo, alderson,440, mccombie street, rosedale, malvern east,5023, nsw,19150416,5572942,<=50K
 kyle, glass,87, wyselaskie circuit, apt 710, wyong,3390, nsw,19241221,6908529,>50K
 isabella, walpole,31, donnison place, gairnshiel rsd 225, dapto,2390, nsw,19881222,6386893,<=50K
 william, green,68, snowden place, heatherdale, burringbar,2750, vic,19150804,9080722,<=50K
 emma, green,30, wallace h eights, learmonth drive, boundary bend,2747, qld,19310903,9262880,<=50K
 tiahana, gaskin,12, crispcircuit, community hospt lmedcl centre, kurri kurri,2624, vic,19190716,4264536,<=50K
 chloe, whetstone,59, chuculba crescent, telooma, hamilton,3000, vic,19910803,1173489,<=50K
 chloe, kyriacou,12, mulga street, inglewood, mitcham,4031, nsw,19480827,3985717,<=50K
 thomas, shepherd,4, dinnison circuit, vila 178, clovelly,4123, wa,19120911,6706820,<=50K
 abbey, hoffman,1, brooker street, de boerderij, lockles,2070, wa,19760226,6891487,>50K
 sarah, bradshaw,4, de littlezcircuit, mermaid plaza dentalyrcentre (cnr gold co, canley vale,3065, nsq,19090923,1686730,<=50K
 alexa-rose, campbell,17, neeld place, milton, narooma,2205, qld,19490410,1531199,<=50K
 joshua, dolan,98, colborne place, warowie, lindfield,3568, nsw,19521116,9500871,<=50K
 hannah, green,65, jacka crescent, rmbe 770, sunshine beach,2086, nsw,19350612,4219398,<=50K
 mikayla, caruana,37, torrens street, bor onia, dianelka,2716, qld,19590901,6041595,<=50K
 india, negrean,1, barringer street, sherwood, parkinson,3168, nsw,19860923,2097928,<=50K
 daniel, morrison,25, bellchambers crescent, ascot park, point samson,4514, vic,19620316,8699433,>50K
 benjamin, kirchener,12, stuart street, wurrami, theodore,2620, wa,19751110,1766048,<=50K
 joel, bordin,45, canberra centre (next to medicare), corombie, figtree,2485, qld,19510904,8728984,>50K
 sienna, georege,22, hoad place, kondalilla, burwood east,3860, nsw,19661026,9123905,<=50K
 joshua, garthwaite,42, mcclintock street, hallsville, avoca,3175, nsw,19050703,5226643,<=50K
 bne, browen,42, tillyard drive, willow wood, mentone,2231, vic,19241201,5216720,<=50K
 jackson, cmielewski,76, angliss place, brookvale, tweed heads south,3082, vic,19141022,7997511,>50K
 rhys, jeffries,3, whistlerplace, pepin, thornlands,4216, nsw,19200821,3750223,<=50K
 tia, gols,101, boron ia drive, the cabin, sunnybank,3020, sa,19961121,7459384,>50K
 laura, stubbs,68, eyre street, westwood homestead, palm island,4871, qld,19621222,1310830,>50K
 andrew, bradshaw,238, berne crescent, civic centre, greensborough,3095, sa,19941118,6385462,<=50K
 barnaby, shereston,1, margany street, flt 2a, keysborough,5045, wa,19961009,8585130,>50K
 mitchell, mcconnel,5, templeton street, gle n ayre, camdn,2500, vic,19370615,3413425,<=50K
 isabella, ayrse,1075, arthur circle, grevilal est, glewnood,5121, qld,19531230,9208787,<=50K
 lucas, rawldings,11, paul coe drescent, glenefer garden, wanniassa,6122, vic,19141102,5141107,<=50K
 alice, bellchambers,267, swanton wtreet, tallow-bwood, blacjtwon,3136, vic,19381230,8676818,<=50K
 darcy, jolly,7, antill street, agar abi, marsfield,4173, nsw,19891008,7208848,<=50K
 ethan, scrbak,2489, de burgh street, glendaurel, como,3156, vic,19100409,8766958,<=50K
 kyleh, reuter,185, padbury street, burnside, ballrat,4703, nsw,19251011,6546519,>50K
 jasmine, frahn,55, mckail crescent, keanlr, cooktown,3020, nsw,19040608,4013078,<=50K
 darcy, hochunli,22, lawrence close, cutler vill, sefton park,2380, tas,19370607,8750602,<=50K
 mcphail, benjamin,33, straliaplace, martins wele station, umina beach,4814, qld,19540903,6563107,<=50K
 zachary, lodge,28, monaro highway, akenfield, sandy bay,4109, qld,19790613,3535105,<=50K
 jarrod, polak,10, parsons street, nareen gardens hostel, elsternwick,6317, nsw,19330222,4360449,<=50K
 zachary, lodge,28, monaro highway, akenfield, malvern east,2200, qld,19790613,2678628,<=50K
 thomas, wijedasa,152, powers place, carney's arcade, bowen hills,6021, tas,19820415,8192413,<=50K
 clodqgh, green,68, snowden place, heatherdale, burringbar,2750, vic,19150804,9080722,<=50K
 annabelle, clapham,312, martley circuit, aptmnt42, worrigee,4160, nsw,19960703,9692668,<=50K
 thomas, papanikolopoulos,14, doolanz court, frank jeffry hostel, ulladulla,4356, vic,19241204,7849076,>50K
 bryce, fabel,3, nangor street, sherwood, beaumaris,2484, qld,19540519,5014276,>50K
 lilian, griffen,155, lambert street, broadbridge manor, kilsyth,4829, vic,19381213,7355934,>50K
 edward, ryan,35, sidaway street, jemalong retrmnt vlge, avalon,3184, nsw,19230301,4392917,<=50K
 ash, worsley,3, russell drysdale crescent, gull cottage, greensborough,4032, nsw,19960512,5164697,>50K
 meaney, shantal,15, cockcroftavenue, sebaank, pakenham,2114, vic,19810717,9937720,<=50K
 eliza, sharon,120, brinsmeda street, chacor, greenapre,3214, nsw,19950112,2497676,<=50K
 daniel, marcic,11, barnes place, country club, wynnum west,5108, wa,19310308,8550692,<=50K
 isabelle, lowe,27, kangairlla, grainger circuit, point turton,2450, vic,19980310,7007836,<=50K
 chloe, mayer,160, tuthill place, poldoe park, illawarra,2214, wa,19800326,3867233,>50K
 jarrod, polak,10, parsons street, nareen gardens hostel, elsternwikc,6317, sa,19330222,4360449,<=50K
 finley, haeusler,27, noarlunga crescent, spring ridge, nambour,3180, vic,19660711,3025217,<=50K
 joshus, maclennan,41, karsjl, roper nplace, eight mile plains,2795, qld,19700525,8982317,<=50K
 kyle, ryany,14, ind place, rocklea, port augusta,4350, nsw,19411102,2059726,>50K
 anthony, berry,11, a'beckett street, hd curramulka, minchinbury,3930, sa,19370703,8728762,<=50K
 adriana, rudd,7, dickson chiropractic dickson chambers, mcivor house, kilsyth,3910, qld,19501217,2016313,<=50K
 thomas, morcom,16, alexandria street, trapalanda, vermont south,3714, vic,19800706,4569567,<=50K
 phillip, ellem,41, outtrim avenue, ainslie house, avalon,3083, qld,19490902,3187616,<=50K
 stephanie, rumbal,26, sollya place, erina ardns, galston,6285, nsw,19150614,5779913,<=50K
 jack, spawton,43, jevons place, locn 1025, greenacre,6014, qld,19080317,3656816,<=50K
 carlin, clarwke,13, loch street, anzac house (cnr archer s street, kyabfam,5040, vic,19531013,3670162,<=50K
 talia, ho,117, illingworth street, liselivan, wynnum west,3201, vic,19740208,2143356,<=50K
 barnaby, shereston,1, margany street, flt 2a, keysborough,5045, wa,19961009,8585130,>50K
 karli, alderson,144, nulsen circuit, iowanna, tingalpa,3139, nsw,19510826,9541034,<=50K
 cliare, priebe,39, stacy street, st francis vlge, clarence park,2145, vic,19900203,5569305,>50K
 beal, jared,9, palmer street, hollybiooke, southern river,4811, nsw,19400526,7240930,<=50K
 brooklyn, manson,27, clive steele avenue, port fairy road, mount low,3450, vic,19710727,4493900,>50K
 sarah, schepers,118, tattersall crescent, coaake, kyogle,2212, nsw,19260705,3474290,<=50K
 jack, burford,26, noongale court, kiandra, highgate,2614, vic,19101115,3392254,<=50K
 emiily, kowald,18, daglish street, oakd ale, avalon,3030, vic,19250313,1590627,<=50K
 zachary, pringle,16, evergood close, emerywood, satur,2160, nsw,19410809,2770074,<=50K
 isaac, schepoirs,118, tattersall crescent, coaake, kyogle,2212, nsw,19861116,3474290,<=50K
 emiily, wynne,51, bungonia street, glenbrae, burringbar,2210, sa,19760814,2855156,<=50K
 brooke, pennell,32, jervois street, wheatlea, mooraobbin,4821, nsw,19641212,7585474,>50K
 isaac, quilliam,11, namatjira drive, delaware, geelong west,3072, nsw,19930926,1556150,<=50K
 kob, korbut,1, kennewell xplace, heights estate, blacktown,4390, wa,19090519,9712042,<=50K
 troy, reid,1, allan street, townview, page,2774, qld,19250727,3580821,>50K
 guthridge, thomas,6, brunswick circuit, tintagel, avondale heights,2073, vic,19080625,4255165,<=50K
 nicholas, matthews,19, james smithi circuit, old wefeoona, dulwic hhill,4170, sa,19570116,9908807,<=50K
 riley, ho,53, discovery street, rockview, orange,2011, wa,19000702,5033334,<=50K
 fiona, worsley,59, gingana street, thorndale, dysart,2193, vic,19960902,9804147,<=50K
 india, negrean,1, barringer street, sherwood, parkinson,3168, wa,19860923,2097928,<=50K
 brydon, webb,11, walker crrscent, bugoren, charlstown,6258, nsw,19190528,4191569,>50K
 oakleigh, fitzpatrick,16, archdall street, clear creek, north amr,2122, gas,19580922,6731902,<=50K
 cambell, hursey,3, spinifex street, sweet waters, toowoomba,3980, sa,19800422,7118146,<=50K
 kirrah, mccarthy,79, laseron place, rowethorpe, winmalee,2073, wa,19400306,2583973,<=50K
 pace, blake,12, goble street, ashleigh house bergen court, haddon,3056, vic,19751212,1356319,>50K
 anthony, berry,11, a'beckett street, hd curramulka, minchinbury,3930, sa,19370703,8728762,<=50K
 mitchell, scrbak,950, holyman street, berkeley vlge, safety bay,4300, qld,19060811,3592109,<=50K
 claudia, eglin ton,50, glenelg street, lans downe, roleystone,4556, vic,19811022,6033620,<=50K
 kyah, ngai,56, shoalhaven avenue, the nount, culburra,3083, vic,19630406,9351600,<=50K
 callum, fauser,4, sandover circuit, eagleview, clare,3021, nsw,19970227,2873125,<=50K
 nicholas, toso,14, carnegie crescent, moonah, mullumbimby,5109, wa,19710120,1111504,>50K
 ashley, heazdon,17, sheehy street, hawkins masonic vlge, warrandyte,3073, vic,19880814,7871445,>50K
 alexandra, hearn,7, booth crescent, unt 5, leichhardt,5037, nsw,19300818,3179241,>50K
 madeline, najm,13, boronia drive, poplar bend, evans head,4216, nsw,19420813,8918633,>50K
 hattie, white,20, ebden street, arkbaa, lalor,4750, nsw,19250301,2133927,<=50K
 jade, matthews,49, ballonnest street, combog olong, young,6065, sa,19581231,5023792,<=50K
 charlolte, satterley,41, counsel street, hilltop hostel rowethorpe, berwic,4556, nsw,19151209,4658473,>50K
 paine, melanie,4, andrewsstreet, rosetta village, salisbury east,3095, qld,19521118,2053758,<=50K
 holly, northway,3, collingridge street, brentwoo d vlge, sunshine,2324, vic,19850215,5614773,<=50K
 ruby, riding,7, middletoz cwircuit, yaraan, ceduna,4214, vic,19650615,9233472,<=50K
 jessica, noble,42, boolimba crescent, lashbrooke, cranbourne,2219, vic,19940815,7984432,<=50K
 mitchell, mcconnel,5, templeton street, glen ayre, camden,2500, vic,19370615,3413425,<=50K
 hannah, spong,16, ellis place, wallaby, albany creek,3818, tas,19630205,8442523,<=50K
 bianca, demetriou,4, jennings street, ahwahnee, dapto,3216, nsw,19261103,8066343,>50K
 jack, mcphie,155, shumack street, millard centre, clayton,4504, nsw,19720208,9497108,<=50K
 broke, durbridge,63, boult place, banamba, bacchusm arsh,6147, sa,19951015,6266446,<=50K
 jayde, van keulen,4, macgregor street, glend ower, cremorne,3566, vic,19150821,3018823,<=50K
 david, stubbs,8, wehl place, minora, sunnybank,2782, qld,19490218,1825686,<=50K
 emma, speight,8, investigator street, willarfo, tweed headsysouth,2770, vic,19630623,5067534,<=50K
 cooper, richmond,5, pridha mstreet, star court arcade, wangaratta,5074, sa,19020301,1483265,>50K
 kayla, harrington,38, maltby circuit, coaling, coolaroo,3465, nsw,19150612,9004242,>50K
 thomas, wynne,920, leahy close, belmore rover, mitcham,3018, ua,19491220,9787222,<=50K
 natasha, crossm an,61, light street, mt gravat tresidence, glenthompson,4865, nsw,19140130,9295668,>50K
 benjamin, campbell,19, goodenia street, busbey's flat, safety beach,2390, qld,19330926,4394755,<=50K
 tia, gold,101, boronia drive, the cabin, sunnybank,3020, sa,19961121,7459384,>50K
 hannah, spong,32, elliswplace, wallaby, albany creek,3818, tas,19630205,8442523,<=50K
 joshua, bishojp,53, d'hagecurt, dovers flat, salt ash,3629, vic,19590302,8180464,<=50K
 sophie, procter,23, paul coe crescent, the lakea village, port lincoln,4109, sa,19500121,4063636,<=50K
 alexandra, mabokmarial,7, walker crescent, border park, erindale,2810, vic,19361207,1063069,<=50K
 david, stubbs,8, wehl place, minroa, sunnybank,2782, qld,19490218,1825686,<=50K
 joshua, porotschnig,9, shepherd street, rockview, limeburners creek,3121, nsw,19130422,7255490,>50K
 timothy, coffey,23, bacchus circuit, frankston caravan park, werrington,2450, vic,19600222,3125388,<=50K
 emiily, morrison,314, cowper tsreet, belmore river, narrandera,5600, vic,19460111,4185791,<=50K
 benjamin, cannekl,17, charleston street, oak glen, kununuodra,2090, nsw,19650504,7825348,>50K
 hayden, jolly,7, heard street, wonderusn, bayswater,5034, nsw,19950410,3682559,>50K
 caleb, radic,17, moon place, coor alook, south perth,4305, nsw,19471021,6519249,<=50K
 isobel, van wijk,18, federal highway, manresa, st albans,5108, vic,19970922,9247870,<=50K
 dabiel, burleigh,22, milford street, brandywine stud, maroota south,3136, sa,19010517,4171356,>50K
 charlie, headon,17, sheehy street, hawkins masonic vlge, warrandyte,3073, vic,19880814,7871445,>50K
 charlie, clissold,41, allchin circuit, kinross, richardson,2196, vic,19270812,5711952,>50K
 alicia, bloomfield,2, hastings court, sunny glen, eleeana,2430, vic,19980422,4531319,<=50K
 mikayla, giannaris,80, seabreeze acravan park, gollan street, abbotsford,2516, wa,19560825,4797460,<=50K
 lachlan, basri,11, lindrum crescent, the shanty, carlsruhe,2130, qld,19261223,2379460,>50K
 giuliana, hammill,31, cobby street, parish talowahl, potts point,3763, nsw,19941108,1238636,<=50K
 aidan, berry,4, lempriere crescent, fair lea, bibra lake,3228, nsw,19280621,5213963,<=50K
 william, headon,33, madigan street, wearmouth, emerald,2577, nsw,19540307,1158377,<=50K
 brooklyn, manson,27, clive steele avenue, port fairy road, yagoona,3450, vic,19710727,4493900,>50K
 riley, frew,33, clive steele avenue, arcadia, vermont,7250, vic,19210304,3817732,<=50K
 abbey, hoffman,17, brooker street, de boerderij, lockleys,2070, wa,19760226,6891487,>50K
 joel, mcgilc hrist,76, borrowdale street, rockles, bund akerg,4871, wa,19141214,8721264,>50K
 jessica, ballantyne,8, medworth crescent, rowethorpe, penrith,4213, nsw,19931103,1155058,<=50K
 charlotte, matthews,101, britten-jones drive, gregory heights, forest hill,2745, vic,19760807,5346114,<=50K
 brodee, kirkmoe,71, brisbane avenue, sherwood, toowoomba,4127, nsw,19370805,2701611,<=50K
 thomas, stephenson,86, boas place, village walk (cnr high s street, eastwood,6630, nsw,19180524,3727893,>50K
 jardine, kallie,27, birrell street, c/-cummins theatre, milp erra,2218, vic,19091111,9225358,<=50K
 lachlan, berry,69, giblin street, killarney, bittern,4184, qld,19990219,7364009,>50K
 james, greenp,12, richards street, dentureclnc, laverton,4157, nsw,19170828,2482106,<=50K
 riley, h o,54, discover ystreet, rockview, orange,2011, wa,19740212,5033334,<=50K
 mia, purdon,23, ramsay place, mirani, gar butt,2206, vic,19831024,8099933,<=50K
 silas, dent,16, wade street, tarwyn park, salisburyeast,2161, qld,19860810,7528902,<=50K
 evangelia, shepherd,9, crichton crescent, mirilla, lutwylche,2794, qld,19900909,3877160,<=50K
 adam, ciotti,13, hyatt place, kersey' south, coffs harbour,5039, nsw,19910920,9490795,<=50K
 kobe, korbut,1, kennewell place, heights estate, blacktown,4390, wa,19090519,9712042,<=50K
 kirar, brock,93, clarnette place, backwoodlands, orbost,2528, vic,19231209,5107876,<=50K
 james, blake,19, sturt avenue, laloki, carnegie,2218, nsw,19050716,7830672,>50K
 holly, mcmullen,51, jukes street, waraba, blackmans bay,4304, qld,19130502,1362267,>50K
 callum, grossman,3, downard street, st vincents mdeical centre, wangaratta,4211, nsw,19770402,7743698,<=50K
 rourke, webb,5, welsby place, bungarra, island beach,6020, nsw,19780601,3380232,<=50K
 sam, musolino,173, kathner street, chactor, otago bay,3068, vic,19770911,7509483,<=50K
 rees, maribanne,6, nerli place, weeroona, mansfield,3644, sa,19770628,4235561,>50K
 alexandra, asche,17, badimara street, winter park, cooltong,4121, vic,19481129,6792452,<=50K
 deakin, sondergeld,231, goldfinch circuit, kooltuo, canterbury,2509, vic,19600210,2635962,>50K
 lachlan, vincent,29, hansen circuit, guyangal, casula,2913, nsw,19380406,4112327,<=50K
 gemaeky, matthews,388, goessling place, evergreen, pennant hills,3194, nsw,19730826,4691516,<=50K
 marcus, haythorpe,11, rose scott circuit, granny flat 2, bergalia,4500, qld,19190502,5717064,<=50K
 jack, spawton,43, mathieson crescent, locn 1025, greenacre,6014, qld,19080317,3656816,<=50K
 alex, bullock,7, shoalhaven avenue, druid's oak, cromer,2300, nsw,19460903,5781510,<=50K
 hugo, morrison,28, yakillip park, kambalda crwscent, cranbourne,4670, nsw,19561224,8755172,<=50K
 daniel, couzens,25, coventry close, cressbrook, mount eliza,5073, nsw,19881127,6934299,<=50K
 timothy, zaluski,94, fraser court, coolibah, mount melville,3095, vic,19841003,9265651,<=50K
 renee, cochrane,31, gledden street, kings apmts, forreston,2011, qld,19880821,4922108,<=50K
