rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, soc_sec_id,ID,sex,age,race,marital-status,education,native-country,workclass,occupation,salary-class
rec-419-org, jack, berry,4.0, esperance street, landen, black rock,2763, vic,19020712.0,6151476,23119.0,Male,37.0,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
rec-262-org, alexandra, boulter,22.0, tazewell circuit, berkeley vlge, potts point,2450, vic,19420722.0,5269403,2781.0,Male,22.0,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
rec-19-dup-0, cambetll, hursey,3.0, corona place, sweet w atdrs, toowoomba,3980, sa,19870526.0,7118146,6414.0,Male,69.0,White,Widowed,HS-grad,United-States,Private,Machine-op-inspct,<=50K
rec-78-dup-0, hayd en, geraghty,41.0, macneilplace, willow wood, frenchs forest,3011, vic,19121130.0,8624403,7007.0,Male,23.0,White,Never-married,Some-college,United-States,Private,Exec-managerial,<=50K
rec-350-org, monique, gergely,21.0, harwood court, hybernia park, sherwood,2207, nsw,19790807.0,7375144,8242.0,Male,29.0,Other,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,<=50K
rec-113-org, layla, ryan,720.0, tregellas crescent, carinya vlge, collinswood,3400, nsw,19920526.0,7041054,1828.0,Male,60.0,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Exec-managerial,>50K
rec-291-dup-0, justin, clarke,12.0, ahmatt street, moline ivllage, rowvil le,6150, vix,19990220.0,6779471,12515.0,Male,47.0,White,Divorced,Bachelors,United-States,Private,Exec-managerial,>50K
rec-370-dup-0, rourke, webv,5.0, welsby pnlace, bungarra, island b each,6020, nsw,19780601.0,8955738,24977.0,Female,44.0,White,Divorced,Some-college,United-States,Private,Other-service,<=50K
rec-99-org, imogen, akroyd,8.0, everard street, strathalan community, marsfield,3219, qld,19361218.0,4817613,17172.0,Female,22.0,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K
rec-32-dup-0, chloe, gillard,3.0, crispcir cuit, ban skia, kenilworth,4218, wa,19200820.0,8072668,20309.0,Male,20.0,White,Never-married,HS-grad,United-States,Private,Machine-op-inspct,<=50K
rec-77-org, joshua, garthwaite,24.0, mcclintock street, hallsville, avoca,3175, nsw,19050703.0,5226643,6510.0,Female,19.0,White,Never-married,HS-grad,United-States,Private,Other-service,<=50K
rec-183-dup-0, lachlan, jukic,2.0, morgan crescent, parklea, raymond terrace,2250, nsw,19780702.0,4027998,18807.0,Female,22.0,White,Never-married,Some-college,United-States,Private,Adm-clerical,<=50K
rec-383-dup-0, cononr, lutz,55.0, burkitt street, connoisseur quarterhorses, the basin,3166, vic,19970727.0,6308695,18615.0,Male,48.0,White,Married-civ-spouse,7th-8th,United-States,Self-emp-inc,Craft-repair,>50K
rec-179-dup-0, rosie, reid,256.0, coghill close, bay city plaza, blackown,5253, act,19770714.0,8349921,16751.0,Male,33.0,White,Never-married,Masters,United-States,Private,Prof-specialty,<=50K
rec-68-org, darcy, jolly,7.0, antill street, agarabi, godwin beach,4173, nsw,19891008.0,7208848,21307.0,Male,30.0,White,Married-civ-spouse,Some-college,Nicaragua,Private,Machine-op-inspct,<=50K
rec-385-dup-0, isabella, defrancesco,24.0, meyrick place, marx garden world, wellingotn point,2759, vic,19040819.0,8342399,2504.0,Female,54.0,Black,Married-civ-spouse,HS-grad,United-States,Private,Priv-house-serv,<=50K
rec-464-dup-0, jessica, noble,42.0, boolimba crescent, lashbrooke, cranbourne,2219, vic,19940815.0,7984432,6508.0,Female,45.0,Asian-Pac-Islander,Widowed,HS-grad,South,Private,Other-service,<=50K
rec-351-dup-0, thomas, wijedasa,152.0, powers place, carney's arcade, bowen hills,6021, tas,19820415.0,8129413,17765.0,Male,42.0,White,Never-married,Bachelors,United-States,Private,Sales,<=50K
rec-287-org, zakariah, hoyland,82.0, rooth place, pindara medical centre, dianella,6164, qld,19900707.0,6754522,27479.0,Male,46.0,White,Married-spouse-absent,Assoc-voc,United-States,Private,Machine-op-inspct,<=50K
rec-302-org, chloe, jayaraman,33.0, eungella street, victoria mill estate, broken hill,3172, nsw,19590818.0,4910207,1887.0,Female,24.0,White,Married-spouse-absent,Bachelors,United-States,Private,Prof-specialty,<=50K
rec-457-org, alice, bellchambers,267.0, swanton street, tallow-wood, blacktown,3136, vic,19381230.0,8676818,20702.0,Female,51.0,White,Never-married,HS-grad,United-States,Private,Exec-managerial,<=50K
rec-382-org, joshua, rickett,1.0, burraly court, malladup, new farm,2439, act,19030121.0,4310453,17103.0,Male,51.0,White,Married-civ-spouse,Bachelors,United-States,Federal-gov,Exec-managerial,<=50K
rec-94-org, eliza, sharon,120.0, brinsmead street, chactor, greenacre,3214, nsw,19950112.0,2497676,6702.0,Female,49.0,White,Never-married,Some-college,United-States,Private,Other-service,<=50K
rec-102-org, fraser, marlow,8.0, evelyn owen crescent, yarandoo wing, ermington,3000, nsw,19731008.0,2195286,22273.0,Male,25.0,White,Never-married,HS-grad,United-States,Local-gov,Craft-repair,<=50K
rec-449-dup-0, liam, fitzpatrck,55.0, schonell circuit, yarramac, coffs harbour,6285, nsw,19321022.0,5663386,9740.0,Male,49.0,White,Married-civ-spouse,Bachelors,United-States,State-gov,Prof-specialty,>50K
rec-172-org, brydon, webb,11.0, walker crescent, bugoren, charlestown,6258, nsw,19190528.0,4191569,1804.0,Male,32.0,White,Married-civ-spouse,Some-college,United-States,Private,Exec-managerial,>50K
rec-70-dup-0, chloe, reitler,14.0, daley crescent, halfway hill, ballinga,6146, qld,19171028.0,7162356,24308.0,Male,54.0,White,Never-married,HS-grad,United-States,Private,Exec-managerial,>50K
rec-323-dup-0, bordin, brody,45.0, canberra centre (next to medicare), corombie, figtree,2485, qld,19510904.0,8728984,5515.0,Male,50.0,White,Divorced,Bachelors,United-States,Private,Exec-managerial,>50K
rec-484-org, jacynta, hoffman,4.0, marrakai street, tantallon, munruben,2042, nsw,19320417.0,4705328,13596.0,Male,22.0,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,>50K
rec-69-org, mikayla, caruana,37.0, torrens street, boronia, dianella,2761, qld,19590901.0,6041595,2302.0,Female,52.0,White,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K
rec-291-org, justin, clarke,12.0, ahmatt street, moline village, rowville,6105, vic,19990220.0,6779471,12515.0,Male,47.0,White,Divorced,Bachelors,United-States,Private,Exec-managerial,>50K
rec-280-org, catherine, couzens,41.0, balamara street, landen, frankston,2099, wa,19080905.0,8642862,11011.0,Female,42.0,White,Divorced,Bachelors,United-States,Private,Prof-specialty,<=50K
rec-187-org, tyron, dixon,45.0, grund place, zintara, munruben,2167, vic,19940207.0,8837588,6824.0,Female,35.0,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Sales,<=50K
rec-232-org, rhys, jeffries,3.0, whistler place, pepin, thornlands,4216, nsw,19200821.0,3750223,13733.0,Female,46.0,White,Divorced,Assoc-voc,United-States,Private,Sales,<=50K
rec-133-org, jordan, lavis,12.0, ranken place, rosebery hill, piggabeen,870, nsw,19640314.0,4307152,9796.0,Female,49.0,White,Married-civ-spouse,Bachelors,United-States,State-gov,Prof-specialty,<=50K
rec-179-org, kyle, brain,256.0, coghill close, bay city plaza, blacktown,5253, act,19770714.0,8349921,16751.0,Male,33.0,White,Never-married,Masters,United-States,Private,Prof-specialty,<=50K
rec-250-dup-0, angelina, reece,34.0, wray pylace, brookto nh ouse, toowoomba,7140, qld,19350613.0,7961545,29881.0,Female,41.0,White,Never-married,Doctorate,United-States,Private,Machine-op-inspct,>50K
rec-218-org, georgia, kyriacou,21.0, carumbi place, kindberg, banyo,2340, vic,19280827.0,9890107,16066.0,Female,19.0,White,Divorced,HS-grad,El-Salvador,Private,Craft-repair,<=50K
rec-333-dup-0, thomas, graue,4.0, dinnison gcircuit, vila 178, clovelly,4123, wa,19120911.0,5760570,13735.0,Male,48.0,White,Married-civ-spouse,Masters,United-States,Self-emp-inc,Other-service,<=50K
rec-401-dup-0, matthew, green,28.0, banks srteet, old ffarm, mooroofbark,6108, nsw,19161230.0,6391014,27635.0,Female,38.0,White,Married-civ-spouse,Prof-school,United-States,Private,Sales,<=50K
rec-61-org, darcie, fleet,13.0, fellows street, braeburn, somerton park,2284, vic,19950307.0,1563705,14421.0,Male,29.0,White,Married-civ-spouse,Some-college,United-States,Federal-gov,Protective-serv,<=50K
rec-480-dup-0, jord an, blake,2.0, moore street, fleurbaix, armida le,2477, vic,19790710.0,6981185,28812.0,Male,40.0,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Other-service,<=50K
rec-452-dup-0, alissa, kilmatrin,37.0, reveley rescent, crown allot, wolumla,6210, nsw,19041118.0,7994055,28592.0,Male,33.0,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
rec-383-org, connor, lutz,55.0, burkitt street, connoisseur quarterhorses, the basin,3166, vic,19970727.0,6308695,18615.0,Male,48.0,White,Married-civ-spouse,7th-8th,United-States,Self-emp-inc,Craft-repair,>50K
rec-199-dup-0, giuliana, hammill,83.0, cobby sjtteet, parish takowahl, potts point,3736, nsw,19941108.0,1238636,17012.0,Female,40.0,White,Divorced,Some-college,United-States,Private,Other-service,<=50K
rec-17-org, kyle, ryan,15.0, ind place, rocklea, port augusta,4305, nsw,19411102.0,2059726,17267.0,Male,36.0,White,Married-civ-spouse,Bachelors,United-States,Self-emp-not-inc,Exec-managerial,>50K
rec-181-dup-0, jacob, varwano,2.0, magrath crescent, bandrea, auburn,2210, vic,19411202.0,1499165,28152.0,Male,41.0,White,Married-civ-spouse,Masters,United-States,Local-gov,Prof-specialty,>50K
rec-480-org, jordan, thaba,2.0, moore street, fleurbaix, armidale,2477, vic,19790710.0,6981185,28812.0,Male,40.0,White,Married-civ-spouse,Assoc-acdm,United-States,Private,Other-service,<=50K
rec-307-dup-0, varano, max,16.0, birrigaisquare, arabian stud ielkette park, dandenong north,6051, vic,19700713.0,7737012,1671.0,Female,48.0,White,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K
rec-271-org, ashley, white,25.0, jacka crescent, red gate, marmong point,7250, wa,19280224.0,5596702,27445.0,Male,33.0,White,Never-married,Masters,United-States,State-gov,Prof-specialty,<=50K
rec-418-dup-0, mccarrhy, timothy,517.0, sidawawytreet, ballawina stud, northcliffe,4350, nsw,19530607.0,6601394,11792.0,Female,30.0,White,Never-married,Some-college,United-States,Private,Sales,<=50K
rec-130-dup-0, sar, coffey,3.0, mckinlay street, beechowrth, huonville,4558, vic,19150306.0,1706049,18535.0,Male,34.0,White,Married-civ-spouse,12th,Dominican-Republic,Private,Other-service,<=50K
rec-138-dup-0, holly, siemers,8.0, strachan place, kootingal, beaudesert,2104, sa,19610319.0,4858108,24576.0,Female,17.0,White,Never-married,11th,United-States,Private,Other-service,<=50K
rec-165-dup-0, caleb, dixon,1429.0, glenmore, lambel lvose, toronto,3634, tas,19860422.0,3569365,21889.0,Male,54.0,White,Married-civ-spouse,Some-college,United-States,Private,Sales,<=50K
rec-381-org, anneliese, clarke,16.0, langdon avenue, arawang, pakenham,3114, nsw,19000404.0,9135773,19180.0,Female,33.0,White,Divorced,HS-grad,United-States,Private,Other-service,<=50K
rec-203-org, william, lipscombe,14.0, clift crescent, willandra, malvern east,3073, nsw,19260101.0,3537397,2996.0,Male,30.0,White,Married-civ-spouse,Bachelors,United-States,Private,Tech-support,<=50K
rec-22-org, marianne, rees,6.0, nerli place, weeroona, mansfield,3644, sa,19770628.0,4235561,5176.0,Male,38.0,White,Married-civ-spouse,HS-grad,United-States,Private,Tech-support,>50K
rec-85-dup-0, brinsmead, amelia,73.0, mackennal street, belgradezpark, wellington point,2046, vic,19810831.0,4182058,7192.0,Female,28.0,White,Divorced,Assoc-acdm,United-States,Private,Prof-specialty,<=50K
rec-316-dup-0, alexa-rose, campblel,17.0, neeld place, milton, narooma,2205, qld,19490410.0,1531199,2140.0,Male,22.0,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
rec-418-org, timothy, mccarthy,517.0, sidaway street, ballawinna stud, northcliffe,4350, nsw,19530607.0,6601394,11792.0,Female,30.0,White,Never-married,Some-college,United-States,Private,Sales,<=50K
rec-279-dup-0, kyle, rundle,107.0, greenhood place, willowd trees, brigthon,5074, nsw,19460902.0,6532949,2317.0,Female,52.0,White,Separated,Assoc-voc,United-States,Private,Other-service,<=50K
rec-384-org, callum, grossman,3.0, downard street, st vincents medical centre, wangaratta,4211, nsw,19770402.0,7743698,29697.0,Male,34.0,Black,Never-married,HS-grad,United-States,Private,Other-service,<=50K
rec-207-dup-0, lacey, clarke,54.0, starritt place, st fra ncis vlge, goomalibee,2600, wa,19700209.0,9397537,769.0,Male,24.0,White,Never-married,Bachelors,United-States,Private,Exec-managerial,<=50K
rec-339-org, nicholas, campbell,87.0, poynton street, karma park, albion park,4655, qld,19041212.0,9882754,9491.0,Male,38.0,White,Never-married,HS-grad,United-States,Private,Prof-specialty,<=50K
rec-484-dup-0, jacynta, hoffman,4.0, marrakai srteet, tantallon, munruben,2153, nsw,19320417.0,4705328,13596.0,Male,22.0,White,Married-civ-spouse,HS-grad,United-States,Private,Transport-moving,>50K
rec-196-org, carlin, clarke,13.0, loch street, anzac house (cnr archer s street, kyabram,5040, vic,19891111.0,3670162,20335.0,Female,21.0,White,Married-civ-spouse,12th,Portugal,Self-emp-not-inc,Adm-clerical,<=50K
rec-283-org, caleb, radic,17.0, moon place, cooralook, south perth,4305, nsw,19471021.0,6519229,8741.0,Female,49.0,White,Never-married,Some-college,United-States,State-gov,Adm-clerical,<=50K
rec-243-org, nicholas, prideaux,9.0, hicks street, loccn 7229, bondi junction,5011, sa,19420429.0,1107619,22311.0,Male,29.0,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,<=50K
rec-229-dup-0, isabella, fitzptarick,10.0, tompsitt court, sanlyn, corio,6340, nsw,19771224.0,5262341,15551.0,Male,50.0,White,Married-civ-spouse,11th,United-States,Private,Craft-repair,<=50K
rec-247-dup-0, lily, huxley,45.0, currie crescent, waribalda, beverly hills,2073, qld,19510420.0,4379936,2784.0,Female,31.0,White,Separated,HS-grad,United-States,Private,Machine-op-inspct,<=50K
rec-89-dup-0, hananh, isola,26.0, barlow steet, aptmnt 240, clayton,4350, act,19320106.0,9013800,28556.0,Female,50.0,White,Divorced,Some-college,United-States,Private,Adm-clerical,<=50K
rec-394-org, emma, gildea,2.0, mccawley street, nr cnr school art, malvern,6722, qld,19440429.0,8069828,7878.0,Male,77.0,White,Married-civ-spouse,Some-college,United-States,Self-emp-inc,Exec-managerial,<=50K
rec-82-dup-0, reeve, mileq,2.0, renwick lwtreet, yarra bee, barwon heads,2342, nsw,19810406.0,1067923,28790.0,Male,19.0,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
rec-444-dup-0, sophie, lovelock,26.0, durraw een, chant street, williamstown,2650, vic,19371233.0,3072763,15688.0,Male,37.0,White,Never-married,Bachelors,United-States,Private,Exec-managerial,<=50K
rec-147-dup-0, jacob, green,2.0, jerome place, kalke, kings cross,6050, act,19770519.0,4058972,9354.0,Male,47.0,White,Divorced,Bachelors,United-States,Private,Craft-repair,<=50K
rec-178-org, nicholas, ryan,59.0, windeyer street, mafeking, belmont,4031, sa,19421110.0,8430399,25507.0,Male,30.0,White,Divorced,Assoc-voc,United-States,Self-emp-not-inc,Craft-repair,<=50K
rec-149-dup-0, mccarthy, kydan,67.0, clemengerxstreet, the points holsteins, fairlawn,6452, nsw,19729518.0,6527653,15594.0,Female,53.0,White,Never-married,Bachelors,United-States,Private,Prof-specialty,<=50K
rec-240-org, adam, crouch,930.0, crozier circuit, willow side jersey stud, cressy,3777, nsw,19011112.0,3380075,28644.0,Female,55.0,White,Married-civ-spouse,Bachelors,United-States,Private,Adm-clerical,<=50K
rec-190-org, darcie, turtur,10.0, blacket street, eureka, beverly hills,2263, nsw,19570422.0,2025650,14245.0,Male,49.0,White,Married-civ-spouse,HS-grad,United-States,Local-gov,Protective-serv,>50K
rec-3-dup-0, hugo, alderson,440.0, mccombie street, rosedale, malvern east,5023, nsw,19150416.0,5572942,28294.0,Male,38.0,White,Married-civ-spouse,HS-grad,United-States,Private,Craft-repair,<=50K
rec-154-org, kyle, glass,87.0, wyselaskie circuit, apt 710, wyong,3390, nsw,19241221.0,6908529,10276.0,Male,52.0,White,Married-civ-spouse,Masters,United-States,Self-emp-inc,Prof-specialty,>50K
rec-53-org, isabella, walpole,31.0, donnison place, gairnshiel rsd 225, dapto,2390, nsw,19881222.0,6386893,28945.0,Male,42.0,White,Divorced,9th,United-States,Private,Craft-repair,<=50K
rec-417-org, william, green,68.0, snowden place, heatherdale, burringbar,2750, vic,19150804.0,9080722,21319.0,Male,40.0,White,Married-civ-spouse,Assoc-voc,United-States,Private,Prof-specialty,<=50K
rec-167-dup-0, emma, green,30.0, wallace h eights, learmonth drive, boundary bend,2747, qld,19310903.0,9262880,16553.0,Male,20.0,White,Never-married,Some-college,United-States,Private,Handlers-cleaners,<=50K
rec-313-dup-0, tiahana, gaskin,12.0, crispcircuit, community hospt lmedcl centre, kurri kurri,2624, vic,19190716.0,4264536,27027.0,Female,51.0,White,Divorced,HS-grad,United-States,Federal-gov,Adm-clerical,<=50K
rec-468-dup-0, chloe, whetstone,59.0, chuculba crescent, telooma, hamilton,3000, vic,19910803.0,1173489,7117.0,Male,41.0,White,Married-civ-spouse,HS-grad,United-States,Private,Sales,<=50K
rec-182-org, chloe, kyriacou,12.0, mulga street, inglewood, mitcham,4031, nsw,19480827.0,3985717,2018.0,Male,39.0,White,Married-civ-spouse,HS-grad,United-States,Private,Machine-op-inspct,<=50K
rec-333-org, thomas, shepherd,4.0, dinnison circuit, vila 178, clovelly,4123, wa,19120911.0,6706820,28487.0,Female,21.0,Other,Never-married,Some-college,Cuba,Private,Adm-clerical,<=50K
rec-26-dup-0, abbey, hoffman,1.0, brooker street, de boerderij, lockles,2070, wa,19760226.0,6891487,13588.0,Male,58.0,White,Married-civ-spouse,HS-grad,United-States,Private,Exec-managerial,>50K
rec-202-dup-0, sarah, bradshaw,4.0, de littlezcircuit, mermaid plaza dentalyrcentre (cnr gold co, canley vale,3065, nsq,19090923.0,1686730,27218.0,Male,56.0,Black,Divorced,Some-college,United-States,Local-gov,Protective-serv,<=50K
rec-316-org, alexa-rose, campbell,17.0, neeld place, milton, narooma,2205, qld,19490410.0,1531199,2140.0,Male,22.0,White,Never-married,HS-grad,United-States,Private,Craft-repair,<=50K
rec-30-org, joshua, dolan,98.0, colborne place, warowie, lindfield,3568, nsw,19521116.0,9500871,14901.0,Female,53.0,White,Married-civ-spouse,12th,United-States,Private,Adm-clerical,<=50K
rec-92-org, hannah, green,65.0, jacka crescent, rmbe 770, sunshine beach,2086, nsw,19350612.0,4219398,2471.0,Male,18.0,White,Divorced,Some-college,United-States,Private,Other-service,<=50K
rec-69-dup-0, mikayla, caruana,37.0, torrens street, bor onia, dianelka,2716, qld,19590901.0,6041595,2302.0,Female,52.0,White,Divorced,HS-grad,United-States,Private,Craft-repair,<=50K
rec-136-dup-0, india, negrean,1.0, barringer street, sherwood, parkinson,3168, nsw,19860923.0,2097928,14788.0,Female,55.0,White,Divorced,Bachelors,United-States,Private,Prof-specialty,<=50K
rec-13-org, daniel, morrison,25.0, bellchambers crescent, ascot park, point samson,4514, vic,19620316.0,8699433,4901.0,Female,25.0,White,Married-civ-spouse,Bachelors,United-States,Private,Exec-managerial,>50K
rec-492-org, benjamin, kirchener,12.0, stuart street, wurrami, theodore,2620, wa,19751110.0,1766048,6981.0,Male,22.0,White,Never-married,10th,United-States,Private,Craft-repair,<=50K
rec-323-org, joel, bordin,45.0, canberra centre (next to medicare), corombie, figtree,2485, qld,19510904.0,8728984,5515.0,Male,50.0,White,Divorced,Bachelors,United-States,Private,Exec-managerial,>50K
rec-118-dup-0, sienna, georege,22.0, hoad place, kondalilla, burwood east,3860, nsw,19661026.0,9123905,6864.0,Male,24.0,White,Never-married,Assoc-acdm,United-States,Private,Craft-repair,<=50K
