index,street_number,postcode,state,date_of_birth,salary-class
184_b,[26-440],[2578-3000],"['nsw', 'sa', 'vic', 'wa']",[19010405-19100830],>50K
490_b,[26-440],[2578-3000],"['nsw', 'sa', 'vic', 'wa']",[19010405-19100830],<=50K
306_b,[6-484],[2614-2765],"['qld', 'sa', 'vic']",[19010903-19070815],<=50K
543_b,[6-484],[2614-2765],"['qld', 'sa', 'vic']",[19010903-19070815],<=50K
763_b,[6-484],[2614-2765],"['qld', 'sa', 'vic']",[19010903-19070815],<=50K
872_b,[6-484],[2614-2765],"['qld', 'sa', 'vic']",[19010903-19070815],<=50K
160_b,[1-18],[3011-3081],"['nsw', 'qld', 'vic', 'wa']",[19000402-19071011],<=50K
218_b,[1-18],[3011-3081],"['nsw', 'qld', 'vic', 'wa']",[19000402-19071011],<=50K
395_b,[1-18],[3011-3081],"['nsw', 'qld', 'vic', 'wa']",[19000402-19071011],<=50K
466_b,[1-18],[3011-3081],"['nsw', 'qld', 'vic', 'wa']",[19000402-19071011],<=50K
935_b,[1-18],[3011-3081],"['nsw', 'qld', 'vic', 'wa']",[19000402-19071011],>50K
462_b,[119-123],[3095-3121],"['qld', 'vic']",[19020516-19061129],<=50K
565_b,[119-123],[3095-3121],"['qld', 'vic']",[19020516-19061129],>50K
734_b,[119-123],[3095-3121],"['qld', 'vic']",[19020516-19061129],<=50K
875_b,[119-123],[3095-3121],"['qld', 'vic']",[19020516-19061129],>50K
214_b,[21-61],[3180-3204],"['act', 'wa']",[19000706-19050712],<=50K
539_b,[21-61],[3180-3204],"['act', 'wa']",[19000706-19050712],>50K
882_b,[21-61],[3180-3204],"['act', 'wa']",[19000706-19050712],<=50K
264_b,[45-55],[3142-3191],['qld'],[19070524-19091213],<=50K
695_b,[45-55],[3142-3191],['qld'],[19070524-19091213],<=50K
720_b,[45-55],[3142-3191],['qld'],[19070524-19091213],<=50K
585_b,[1-10],[3337-3630],['qld'],[19030131-19060131],<=50K
668_b,[1-10],[3337-3630],['qld'],[19030131-19060131],<=50K
910_b,[1-10],[3337-3630],['qld'],[19030131-19060131],<=50K
974_b,[1-10],[3337-3630],['qld'],[19030131-19060131],<=50K
142_b,[15-187],[3669-4301],"['nsw', 'vic']",[19010221-19050414],<=50K
367_b,[15-187],[3669-4301],"['nsw', 'vic']",[19010221-19050414],<=50K
542_b,[15-187],[3669-4301],"['nsw', 'vic']",[19010221-19050414],<=50K
893_b,[15-187],[3669-4301],"['nsw', 'vic']",[19010221-19050414],<=50K
533_b,[2-27],[3777-4301],"['nsw', 'tas', 'vic']",[19021218-19050414],<=50K
648_b,[2-27],[3777-4301],"['nsw', 'tas', 'vic']",[19021218-19050414],<=50K
787_b,[2-27],[3777-4301],"['nsw', 'tas', 'vic']",[19021218-19050414],<=50K
824_b,[2-27],[3777-4301],"['nsw', 'tas', 'vic']",[19021218-19050414],>50K
38_b,[7-387],[3915-4178],"['nsw', 'sa', 'vic']",[19000322-19050815],<=50K
265_b,[7-387],[3915-4178],"['nsw', 'sa', 'vic']",[19000322-19050815],>50K
429_b,[7-387],[3915-4178],"['nsw', 'sa', 'vic']",[19000322-19050815],>50K
452_b,[7-387],[3915-4178],"['nsw', 'sa', 'vic']",[19000322-19050815],<=50K
4_b,[8-528],[4564-5084],"['act', 'nsw', 'qld', 'vic']",[19001220-19041120],<=50K
17_b,[8-528],[4564-5084],"['act', 'nsw', 'qld', 'vic']",[19001220-19041120],>50K
187_b,[8-528],[4564-5084],"['act', 'nsw', 'qld', 'vic']",[19001220-19041120],<=50K
472_b,[8-528],[4564-5084],"['act', 'nsw', 'qld', 'vic']",[19001220-19041120],<=50K
172_b,[34-53],[5108-6163],"['nsw', 'nt', 'vic']",[19000910-19050410],<=50K
257_b,[34-53],[5108-6163],"['nsw', 'nt', 'vic']",[19000910-19050410],<=50K
688_b,[34-53],[5108-6163],"['nsw', 'nt', 'vic']",[19000910-19050410],<=50K
858_b,[34-53],[5108-6163],"['nsw', 'nt', 'vic']",[19000910-19050410],<=50K
534_b,[2-377],[6210-6330],"['nsw', 'vic']",[19031229-19040922],<=50K
593_b,[2-377],[6210-6330],"['nsw', 'vic']",[19031229-19040922],<=50K
739_b,[2-377],[6210-6330],"['nsw', 'vic']",[19031229-19040922],>50K
844_b,[2-377],[6210-6330],"['nsw', 'vic']",[19031229-19040922],<=50K
192_b,[81-377],[6338-7249],"['nsw', 'tas', 'vic']",[19030720-19050313],<=50K
510_b,[81-377],[6338-7249],"['nsw', 'tas', 'vic']",[19030720-19050313],>50K
745_b,[81-377],[6338-7249],"['nsw', 'tas', 'vic']",[19030720-19050313],>50K
764_b,[81-377],[6338-7249],"['nsw', 'tas', 'vic']",[19030720-19050313],>50K
226_b,[11-14],[3274-4128],"['nsw', 'qld', 'vic']",[19061125-19090414],<=50K
316_b,[11-14],[3274-4128],"['nsw', 'qld', 'vic']",[19061125-19090414],<=50K
400_b,[11-14],[3274-4128],"['nsw', 'qld', 'vic']",[19061125-19090414],<=50K
870_b,[11-14],[3274-4128],"['nsw', 'qld', 'vic']",[19061125-19090414],<=50K
198_b,[25-302],[3630-4518],"['nsw', 'qld', 'tas']",[19070128-19111216],<=50K
575_b,[25-302],[3630-4518],"['nsw', 'qld', 'tas']",[19070128-19111216],>50K
636_b,[25-302],[3630-4518],"['nsw', 'qld', 'tas']",[19070128-19111216],<=50K
835_b,[25-302],[3630-4518],"['nsw', 'qld', 'tas']",[19070128-19111216],<=50K
320_b,[40-45],[3233-4220],"['nsw', 'qld', 'vic']",[19061006-19100212],<=50K
356_b,[40-45],[3233-4220],"['nsw', 'qld', 'vic']",[19061006-19100212],>50K
453_b,[40-45],[3233-4220],"['nsw', 'qld', 'vic']",[19061006-19100212],>50K
827_b,[40-45],[3233-4220],"['nsw', 'qld', 'vic']",[19061006-19100212],<=50K
191_b,[8-75],[3311-4108],"['sa', 'vic']",[19060517-19100915],<=50K
503_b,[8-75],[3311-4108],"['sa', 'vic']",[19060517-19100915],<=50K
816_b,[8-75],[3311-4108],"['sa', 'vic']",[19060517-19100915],<=50K
957_b,[8-75],[3311-4108],"['sa', 'vic']",[19060517-19100915],<=50K
18_b,[1-16],[4793-5264],"['nsw', 'sa', 'vic']",[19060622-19100412],>50K
146_b,[1-16],[4793-5264],"['nsw', 'sa', 'vic']",[19060622-19100412],>50K
671_b,[1-16],[4793-5264],"['nsw', 'sa', 'vic']",[19060622-19100412],>50K
965_b,[1-16],[4793-5264],"['nsw', 'sa', 'vic']",[19060622-19100412],<=50K
109_b,[17-43],[4740-5163],"['nsw', 'vic']",[19090104-19111028],<=50K
173_b,[17-43],[4740-5163],"['nsw', 'vic']",[19090104-19111028],>50K
492_b,[17-43],[4740-5163],"['nsw', 'vic']",[19090104-19111028],<=50K
949_b,[17-43],[4740-5163],"['nsw', 'vic']",[19090104-19111028],<=50K
72_b,[5-35],[6149-6333],"['nsw', 'vic']",[19081017-19120525],<=50K
222_b,[5-35],[6149-6333],"['nsw', 'vic']",[19081017-19120525],>50K
344_b,[5-35],[6149-6333],"['nsw', 'vic']",[19081017-19120525],<=50K
666_b,[5-35],[6149-6333],"['nsw', 'vic']",[19081017-19120525],<=50K
119_b,[5-45],[6343-7310],"['nsw', 'qld']",[19061028-19120407],<=50K
223_b,[5-45],[6343-7310],"['nsw', 'qld']",[19061028-19120407],<=50K
244_b,[5-45],[6343-7310],"['nsw', 'qld']",[19061028-19120407],<=50K
260_b,[1-26],[2035-2100],"['nsw', 'vic']",[19150106-19190603],<=50K
345_b,[1-26],[2035-2100],"['nsw', 'vic']",[19150106-19190603],<=50K
650_b,[1-26],[2035-2100],"['nsw', 'vic']",[19150106-19190603],>50K
895_b,[1-26],[2035-2100],"['nsw', 'vic']",[19150106-19190603],>50K
945_b,[1-26],[2035-2100],"['nsw', 'vic']",[19150106-19190603],<=50K
205_b,[14-29],[2114-2603],"['qkd', 'vic']",[19131103-19190926],<=50K
601_b,[14-29],[2114-2603],"['qkd', 'vic']",[19131103-19190926],<=50K
619_b,[14-29],[2114-2603],"['qkd', 'vic']",[19131103-19190926],<=50K
896_b,[14-29],[2114-2603],"['qkd', 'vic']",[19131103-19190926],<=50K
186_b,[35-371],[2226-2603],"['nsw', 'vic', 'wa']",[19160117-19190411],>50K
527_b,[35-371],[2226-2603],"['nsw', 'vic', 'wa']",[19160117-19190411],<=50K
544_b,[35-371],[2226-2603],"['nsw', 'vic', 'wa']",[19160117-19190411],>50K
751_b,[35-371],[2226-2603],"['nsw', 'vic', 'wa']",[19160117-19190411],<=50K
995_b,[35-371],[2226-2603],"['nsw', 'vic', 'wa']",[19160117-19190411],<=50K
130_b,[8-68],[2017-2049],"['nsw', 'qld', 'vic']",[19131019-19160228],<=50K
270_b,[8-68],[2017-2049],"['nsw', 'qld', 'vic']",[19131019-19160228],<=50K
536_b,[8-68],[2017-2049],"['nsw', 'qld', 'vic']",[19131019-19160228],<=50K
994_b,[8-68],[2017-2049],"['nsw', 'qld', 'vic']",[19131019-19160228],>50K
347_b,[10-122],[2014-2100],"['nsw', 'vic']",[19210630-19230413],>50K
610_b,[10-122],[2014-2100],"['nsw', 'vic']",[19210630-19230413],<=50K
730_b,[10-122],[2014-2100],"['nsw', 'vic']",[19210630-19230413],<=50K
821_b,[10-122],[2014-2100],"['nsw', 'vic']",[19210630-19230413],<=50K
885_b,[10-122],[2014-2100],"['nsw', 'vic']",[19210630-19230413],<=50K
368_b,[1-14],[2210-2560],"['nsw', 'qld', 'sa']",[19200815-19230918],<=50K
640_b,[1-14],[2210-2560],"['nsw', 'qld', 'sa']",[19200815-19230918],<=50K
679_b,[1-14],[2210-2560],"['nsw', 'qld', 'sa']",[19200815-19230918],>50K
831_b,[1-14],[2210-2560],"['nsw', 'qld', 'sa']",[19200815-19230918],<=50K
464_b,[2-38],[2077-2121],"['nsw', 'vic']",[19210928-19230326],<=50K
633_b,[2-38],[2077-2121],"['nsw', 'vic']",[19210928-19230326],<=50K
746_b,[2-38],[2077-2121],"['nsw', 'vic']",[19210928-19230326],>50K
75_b,[21-37],[2267-2603],"['vic', 'wa']",[19200714-19210624],<=50K
694_b,[21-37],[2267-2603],"['vic', 'wa']",[19200714-19210624],<=50K
708_b,[21-37],[2267-2603],"['vic', 'wa']",[19200714-19210624],<=50K
120_b,[1-14],[2839-3039],"['nsw', 'qld']",[19160602-19210721],<=50K
362_b,[1-14],[2839-3039],"['nsw', 'qld']",[19160602-19210721],<=50K
494_b,[1-14],[2839-3039],"['nsw', 'qld']",[19160602-19210721],>50K
811_b,[1-14],[2839-3039],"['nsw', 'qld']",[19160602-19210721],>50K
823_b,[1-14],[2839-3039],"['nsw', 'qld']",[19160602-19210721],<=50K
91_b,[25-184],[2756-3028],"['qld', 'vic']",[19161004-19190129],>50K
254_b,[25-184],[2756-3028],"['qld', 'vic']",[19161004-19190129],<=50K
284_b,[25-184],[2756-3028],"['qld', 'vic']",[19161004-19190129],<=50K
150_b,[1-25],[3048-3124],"['act', 'atc', 'vic']",[19160213-19180927],<=50K
581_b,[1-25],[3048-3124],"['act', 'atc', 'vic']",[19160213-19180927],<=50K
590_b,[1-25],[3048-3124],"['act', 'atc', 'vic']",[19160213-19180927],<=50K
909_b,[1-25],[3048-3124],"['act', 'atc', 'vic']",[19160213-19180927],<=50K
8_b,[3-8],[3048-3121],"['nsw', 'vic']",[19170726-19200929],<=50K
94_b,[3-8],[3048-3121],"['nsw', 'vic']",[19170726-19200929],<=50K
923_b,[3-8],[3048-3121],"['nsw', 'vic']",[19170726-19200929],<=50K
45_b,[1-15],[3173-3200],"['nsw', 'qld', 'vic']",[19161226-19220917],>50K
65_b,[1-15],[3173-3200],"['nsw', 'qld', 'vic']",[19161226-19220917],<=50K
229_b,[1-15],[3173-3200],"['nsw', 'qld', 'vic']",[19161226-19220917],<=50K
386_b,[1-15],[3173-3200],"['nsw', 'qld', 'vic']",[19161226-19220917],<=50K
717_b,[1-15],[3173-3200],"['nsw', 'qld', 'vic']",[19161226-19220917],<=50K
253_b,[16-175],[3139-3162],"['qld', 'tas']",[19151003-19210817],<=50K
665_b,[16-175],[3139-3162],"['qld', 'tas']",[19151003-19210817],>50K
737_b,[16-175],[3139-3162],"['qld', 'tas']",[19151003-19210817],<=50K
10_b,[2-24],[3152-3197],"['nsw', 'qld', 'vic']",[19140520-19200510],<=50K
366_b,[2-24],[3152-3197],"['nsw', 'qld', 'vic']",[19140520-19200510],>50K
747_b,[2-24],[3152-3197],"['nsw', 'qld', 'vic']",[19140520-19200510],<=50K
798_b,[2-24],[3152-3197],"['nsw', 'qld', 'vic']",[19140520-19200510],>50K
445_b,[3-45],[3136-3182],['qld'],[19150920-19160808],>50K
579_b,[3-45],[3136-3182],['qld'],[19150920-19160808],<=50K
932_b,[3-45],[3136-3182],['qld'],[19150920-19160808],<=50K
233_b,[12-106],[3213-3444],"['qld', 'vic']",[19151219-19171125],<=50K
372_b,[12-106],[3213-3444],"['qld', 'vic']",[19151219-19171125],<=50K
621_b,[12-106],[3213-3444],"['qld', 'vic']",[19151219-19171125],<=50K
805_b,[12-106],[3213-3444],"['qld', 'vic']",[19151219-19171125],<=50K
975_b,[12-106],[3213-3444],"['qld', 'vic']",[19151219-19171125],<=50K
143_b,[1-264],[3500-3805],"['nsw', 'qld']",[19140227-19210222],<=50K
385_b,[1-264],[3500-3805],"['nsw', 'qld']",[19140227-19210222],<=50K
528_b,[1-264],[3500-3805],"['nsw', 'qld']",[19140227-19210222],<=50K
392_b,[19-1215],[3850-4021],"['nsw', 'qld']",[19130115-19180501],>50K
652_b,[19-1215],[3850-4021],"['nsw', 'qld']",[19130115-19180501],<=50K
761_b,[19-1215],[3850-4021],"['nsw', 'qld']",[19130115-19180501],>50K
866_b,[19-1215],[3850-4021],"['nsw', 'qld']",[19130115-19180501],>50K
944_b,[19-1215],[3850-4021],"['nsw', 'qld']",[19130115-19180501],<=50K
56_b,[6-56],[3815-3931],"['nsw', 'qld']",[19140410-19210324],<=50K
86_b,[6-56],[3815-3931],"['nsw', 'qld']",[19140410-19210324],<=50K
239_b,[6-56],[3815-3931],"['nsw', 'qld']",[19140410-19210324],>50K
23_b,[14-24],[4061-4118],"['act', 'nsw', 'qld']",[19170308-19211118],<=50K
337_b,[14-24],[4061-4118],"['act', 'nsw', 'qld']",[19170308-19211118],<=50K
567_b,[14-24],[4061-4118],"['act', 'nsw', 'qld']",[19170308-19211118],<=50K
830_b,[14-24],[4061-4118],"['act', 'nsw', 'qld']",[19170308-19211118],>50K
973_b,[14-24],[4061-4118],"['act', 'nsw', 'qld']",[19170308-19211118],<=50K
114_b,[7-8],[4035-4111],"['nsw', 'qld']",[19160902-19171217],>50K
513_b,[7-8],[4035-4111],"['nsw', 'qld']",[19160902-19171217],<=50K
901_b,[7-8],[4035-4111],"['nsw', 'qld']",[19160902-19171217],<=50K
67_b,[1-27],[4151-4221],"['act', 'nsw', 'vic']",[19130618-19221120],<=50K
138_b,[1-27],[4151-4221],"['act', 'nsw', 'vic']",[19130618-19221120],>50K
266_b,[1-27],[4151-4221],"['act', 'nsw', 'vic']",[19130618-19221120],<=50K
646_b,[1-27],[4151-4221],"['act', 'nsw', 'vic']",[19130618-19221120],<=50K
232_b,[16-21],[4226-4504],['vic'],[19140801-19200327],<=50K
634_b,[16-21],[4226-4504],['vic'],[19140801-19200327],>50K
781_b,[16-21],[4226-4504],['vic'],[19140801-19200327],<=50K
369_b,[15-36],[4573-4740],"['nsw', 'qld']",[19130206-19180805],<=50K
498_b,[15-36],[4573-4740],"['nsw', 'qld']",[19130206-19180805],<=50K
869_b,[15-36],[4573-4740],"['nsw', 'qld']",[19130206-19180805],<=50K
884_b,[15-36],[4573-4740],"['nsw', 'qld']",[19130206-19180805],>50K
179_b,[60-815],[4510-4650],"['act', 'vic', 'wa']",[19160503-19220524],<=50K
207_b,[60-815],[4510-4650],"['act', 'vic', 'wa']",[19160503-19220524],<=50K
363_b,[60-815],[4510-4650],"['act', 'vic', 'wa']",[19160503-19220524],<=50K
911_b,[60-815],[4510-4650],"['act', 'vic', 'wa']",[19160503-19220524],<=50K
507_b,[15-20],[4870-5042],"['nsw', 'vic']",[19170311-19210805],>50K
664_b,[15-20],[4870-5042],"['nsw', 'vic']",[19170311-19210805],<=50K
752_b,[15-20],[4870-5042],"['nsw', 'vic']",[19170311-19210805],>50K
958_b,[15-20],[4870-5042],"['nsw', 'vic']",[19170311-19210805],<=50K
70_b,[9-219],[4810-5031],"['nsw', 'qld', 'vic']",[19141202-19210926],<=50K
87_b,[9-219],[4810-5031],"['nsw', 'qld', 'vic']",[19141202-19210926],<=50K
511_b,[9-219],[4810-5031],"['nsw', 'qld', 'vic']",[19141202-19210926],>50K
255_b,[15-45],[5049-6012],"['nsw', 'vic']",[19150910-19200610],<=50K
655_b,[15-45],[5049-6012],"['nsw', 'vic']",[19150910-19200610],<=50K
670_b,[15-45],[5049-6012],"['nsw', 'vic']",[19150910-19200610],<=50K
855_b,[15-45],[5049-6012],"['nsw', 'vic']",[19150910-19200610],<=50K
919_b,[15-45],[5049-6012],"['nsw', 'vic']",[19150910-19200610],<=50K
181_b,[61-88],[5108-5171],"['nsw', 'vic']",[19151112-19210430],<=50K
436_b,[61-88],[5108-5171],"['nsw', 'vic']",[19151112-19210430],<=50K
800_b,[61-88],[5108-5171],"['nsw', 'vic']",[19151112-19210430],>50K
53_b,[3-40],[6155-6318],"['nsw', 'vic']",[19170312-19230129],<=50K
241_b,[3-40],[6155-6318],"['nsw', 'vic']",[19170312-19230129],>50K
304_b,[3-40],[6155-6318],"['nsw', 'vic']",[19170312-19230129],<=50K
339_b,[3-40],[6155-6318],"['nsw', 'vic']",[19170312-19230129],<=50K
170_b,[3-22],[6430-7018],"['nsw', 'tas']",[19140128-19190915],<=50K
474_b,[3-22],[6430-7018],"['nsw', 'tas']",[19140128-19190915],<=50K
499_b,[3-22],[6430-7018],"['nsw', 'tas']",[19140128-19190915],<=50K
71_b,[1-17],[2164-2287],"['nsw', 'qld', 'wa']",[19231111-19351121],<=50K
151_b,[1-17],[2164-2287],"['nsw', 'qld', 'wa']",[19231111-19351121],<=50K
275_b,[1-17],[2164-2287],"['nsw', 'qld', 'wa']",[19231111-19351121],>50K
480_b,[1-17],[2164-2287],"['nsw', 'qld', 'wa']",[19231111-19351121],>50K
826_b,[1-17],[2164-2287],"['nsw', 'qld', 'wa']",[19231111-19351121],>50K
238_b,[2-49],[1350-2131],"['nsw', 'qld', 'vic']",[19231010-19350423],<=50K
359_b,[2-49],[1350-2131],"['nsw', 'qld', 'vic']",[19231010-19350423],<=50K
850_b,[2-49],[1350-2131],"['nsw', 'qld', 'vic']",[19231010-19350423],<=50K
862_b,[2-49],[1350-2131],"['nsw', 'qld', 'vic']",[19231010-19350423],<=50K
49_b,[6-590],[2021-2160],"['nsw', 'qld', 'vic']",[19250202-19331015],>50K
283_b,[6-590],[2021-2160],"['nsw', 'qld', 'vic']",[19250202-19331015],<=50K
303_b,[6-590],[2021-2160],"['nsw', 'qld', 'vic']",[19250202-19331015],<=50K
379_b,[6-590],[2021-2160],"['nsw', 'qld', 'vic']",[19250202-19331015],<=50K
34_b,[6-98],[2166-2280],"['sa', 'vic', 'wa']",[19290715-19340213],>50K
182_b,[6-98],[2166-2280],"['sa', 'vic', 'wa']",[19290715-19340213],<=50K
420_b,[6-98],[2166-2280],"['sa', 'vic', 'wa']",[19290715-19340213],<=50K
889_b,[6-98],[2166-2280],"['sa', 'vic', 'wa']",[19290715-19340213],>50K
81_b,[8-297],[2290-2323],"['nsw', 'qld', 'wa']",[19271116-19350803],<=50K
246_b,[8-297],[2290-2323],"['nsw', 'qld', 'wa']",[19271116-19350803],<=50K
424_b,[8-297],[2290-2323],"['nsw', 'qld', 'wa']",[19271116-19350803],>50K
463_b,[8-297],[2290-2323],"['nsw', 'qld', 'wa']",[19271116-19350803],<=50K
766_b,[8-297],[2290-2323],"['nsw', 'qld', 'wa']",[19271116-19350803],<=50K
242_b,[13-30],[2340-2430],"['nsw', 'vic']",[19240413-19260703],<=50K
573_b,[13-30],[2340-2430],"['nsw', 'vic']",[19240413-19260703],<=50K
780_b,[13-30],[2340-2430],"['nsw', 'vic']",[19240413-19260703],>50K
380_b,[14-24],[2464-2529],"['nsw', 'vic', 'wa']",[19240510-19301128],<=50K
382_b,[14-24],[2464-2529],"['nsw', 'vic', 'wa']",[19240510-19301128],<=50K
677_b,[14-24],[2464-2529],"['nsw', 'vic', 'wa']",[19240510-19301128],<=50K
810_b,[14-24],[2464-2529],"['nsw', 'vic', 'wa']",[19240510-19301128],<=50K
902_b,[14-24],[2464-2529],"['nsw', 'vic', 'wa']",[19240510-19301128],<=50K
42_b,[33-96],[2530-2539],"['sa', 'vic']",[19261108-19360722],<=50K
541_b,[33-96],[2530-2539],"['sa', 'vic']",[19261108-19360722],>50K
846_b,[33-96],[2530-2539],"['sa', 'vic']",[19261108-19360722],<=50K
6_b,[9-276],[2541-2610],"['nsq', 'nsw', 'sa', 'vic']",[19250202-19341001],>50K
147_b,[9-276],[2541-2610],"['nsq', 'nsw', 'sa', 'vic']",[19250202-19341001],<=50K
323_b,[9-276],[2541-2610],"['nsq', 'nsw', 'sa', 'vic']",[19250202-19341001],<=50K
939_b,[9-276],[2541-2610],"['nsq', 'nsw', 'sa', 'vic']",[19250202-19341001],<=50K
27_b,[5-1042],[2619-2913],"['nsw', 'qld', 'vic']",[19250214-19340404],<=50K
128_b,[5-1042],[2619-2913],"['nsw', 'qld', 'vic']",[19250214-19340404],>50K
278_b,[5-1042],[2619-2913],"['nsw', 'qld', 'vic']",[19250214-19340404],<=50K
792_b,[5-1042],[2619-2913],"['nsw', 'qld', 'vic']",[19250214-19340404],>50K
169_b,[11-33],[3029-3125],"['nsw', 'vic']",[19310623-19331024],<=50K
391_b,[11-33],[3029-3125],"['nsw', 'vic']",[19310623-19331024],<=50K
685_b,[11-33],[3029-3125],"['nsw', 'vic']",[19310623-19331024],<=50K
853_b,[11-33],[3029-3125],"['nsw', 'vic']",[19310623-19331024],<=50K
519_b,[37-57],[3088-3113],"['qld', 'wa']",[19240223-19360622],<=50K
623_b,[37-57],[3088-3113],"['qld', 'wa']",[19240223-19360622],<=50K
822_b,[37-57],[3088-3113],"['qld', 'wa']",[19240223-19360622],<=50K
234_b,[13-202],[3137-3228],"['nsw', 'qld', 'vic']",[19241230-19251030],<=50K
315_b,[13-202],[3137-3228],"['nsw', 'qld', 'vic']",[19241230-19251030],<=50K
471_b,[13-202],[3137-3228],"['nsw', 'qld', 'vic']",[19241230-19251030],<=50K
934_b,[13-202],[3137-3228],"['nsw', 'qld', 'vic']",[19241230-19251030],<=50K
569_b,[6-146],[3152-3355],"['sa', 'vic']",[19280710-19310623],<=50K
692_b,[6-146],[3152-3355],"['sa', 'vic']",[19280710-19310623],<=50K
806_b,[6-146],[3152-3355],"['sa', 'vic']",[19280710-19310623],>50K
845_b,[6-146],[3152-3355],"['sa', 'vic']",[19280710-19310623],<=50K
215_b,[2-532],[3150-3175],['qld'],[19340625-19350423],<=50K
431_b,[2-532],[3150-3175],['qld'],[19340625-19350423],<=50K
522_b,[2-532],[3150-3175],['qld'],[19340625-19350423],<=50K
706_b,[2-532],[3150-3175],['qld'],[19340625-19350423],<=50K
123_b,[63-64],[3127-3193],['nsw'],[19331205-19350407],<=50K
588_b,[63-64],[3127-3193],['nsw'],[19331205-19350407],<=50K
863_b,[63-64],[3127-3193],['nsw'],[19331205-19350407],<=50K
450_b,[1-27],[3810-3892],"['nsw', 'sa']",[19250127-19340217],<=50K
501_b,[1-27],[3810-3892],"['nsw', 'sa']",[19250127-19340217],<=50K
753_b,[1-27],[3810-3892],"['nsw', 'sa']",[19250127-19340217],>50K
754_b,[1-27],[3810-3892],"['nsw', 'sa']",[19250127-19340217],<=50K
269_b,[31-92],[3377-3636],"['nsw', 'sa', 'vic']",[19250214-19360512],<=50K
